$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26972694$狐妖小红娘剧场版：月红篇$胡二$2018-04-23 22:22:49$65$主线CP果然是最崇高虐人
522$26972694$狐妖小红娘剧场版：月红篇$芥子$2019-06-25 01:27:17$0$狐妖系列永远最爱
523$26972694$狐妖小红娘剧场版：月红篇$~好大一屉小笼包$2023-01-27 07:53:51$0$妖仙姐姐🥹
524$26972694$狐妖小红娘剧场版：月红篇$腐竹$2020-12-04 00:02:44$0$你的手穿过我整个胸膛……为了血，不至于吧
525$26972694$狐妖小红娘剧场版：月红篇$几个菜啊？$2020-02-07 21:22:45$0$国漫崛起
526$26972694$狐妖小红娘剧场版：月红篇$則蘧蘧然周也$2020-08-10 00:09:57$0$最爱月红篇
527$26972694$狐妖小红娘剧场版：月红篇$七里雾$2018-04-22 22:27:55$0$我不管！高举月红cp大旗！五星五星！看到了犬夜叉和桔梗的影子（不要打我）
528$26972694$狐妖小红娘剧场版：月红篇$公子南寻$2018-01-28 22:48:04$0$国产动漫是越来越好了，只希望加片长
529$26972694$狐妖小红娘剧场版：月红篇$Regina$2018-04-21 08:17:07$0$看到一半才反应过来，原来月红指的是东方月初和涂山红红。狐妖最爱的篇章，没有之一
530$26972694$狐妖小红娘剧场版：月红篇$hahaya$2018-06-02 21:35:39$0$真的不要因为他的名字而嫌弃它，很赞的国漫
531$26972694$狐妖小红娘剧场版：月红篇$哇哥🐸$2022-07-26 21:18:47$0$二货道士和妖仙姐姐   道士哥哥和小蠢货可以一起存在吗   都好喜欢
532$26972694$狐妖小红娘剧场版：月红篇$kiki$2022-11-14 14:11:06$0$月红就是最🐮的
533$26972694$狐妖小红娘剧场版：月红篇$溪水旁$2017-09-14 13:53:58$0$不知彼时来世相逢，是否还能记得我是谁？
534$26972694$狐妖小红娘剧场版：月红篇$少时.$2021-07-10 23:59:33$0$你叫我不要出声，我便一直用腹语说话。我贯穿你的那双手，也成了绝缘之爪。幸好，有那个二货道士。
535$26972694$狐妖小红娘剧场版：月红篇$白话$2022-12-01 16:39:38$0$真是三篇里最爱这篇。
536$26972694$狐妖小红娘剧场版：月红篇$我会找到自己的$2017-11-28 20:29:00$0$蛮精彩的，环环相扣啊
537$26972694$狐妖小红娘剧场版：月红篇$浅浅$2018-06-05 21:09:47$0$还是喜欢红红和东方月初，苏苏和白月初这一对，配乐画面都很精美。
538$26972694$狐妖小红娘剧场版：月红篇$豆友156395065$2018-03-18 14:55:55$0$不错了
539$26972694$狐妖小红娘剧场版：月红篇$酷鱼er$2018-06-30 22:26:06$0$呵呵，这两个人和六百年前，一样任性！
540$26972694$狐妖小红娘剧场版：月红篇$Joy$2018-02-19 18:27:00$0$最喜欢的一篇  爱情的最高境界就是守护对方的梦想~
541$26972694$狐妖小红娘剧场版：月红篇$无优yo$2020-08-11 10:33:09$0$主线CP
542$26972694$狐妖小红娘剧场版：月红篇$磕cp会遭天谴$2018-06-01 16:16:43$0$你的手穿透我整个胸膛！月红和白苏真的难以取舍
543$26972694$狐妖小红娘剧场版：月红篇$Cocosimon$2021-06-30 12:16:05$0$初心啊，红红与东方月初😭😭之后感觉也不能在一起了
544$26972694$狐妖小红娘剧场版：月红篇$MADAO$2019-09-05 10:58:27$0$他在最能感动她的时候感动了她并且死了   可能他并没有那么好   但在她心中会不断完善  直至完美（距离产生美）
545$26972694$狐妖小红娘剧场版：月红篇$被吹跑的蘅芜君$2022-08-14 17:22:02$0$男性向，但不是不好看
546$26972694$狐妖小红娘剧场版：月红篇$米开朗 击锣$2019-09-07 12:44:01$0$难道只有我一个人觉得红红最漂亮吗？
547$26972694$狐妖小红娘剧场版：月红篇$大医精诚$2018-05-28 13:24:30$0$爱的人 总不能相守
548$26972694$狐妖小红娘剧场版：月红篇$ign0re$2017-09-02 10:31:29$0$几个老梗反复用，剧情有必要颠来倒去反复说，没意思。
549$26972694$狐妖小红娘剧场版：月红篇$想不到名了$2022-05-02 01:36:16$0$月红😭
550$26972694$狐妖小红娘剧场版：月红篇$momo$2020-04-13 14:32:18$0$补标
551$26972694$狐妖小红娘剧场版：月红篇$奔猫$2022-04-08 19:49:55$0$这一篇没有其他几个印象深刻
552$26972694$狐妖小红娘剧场版：月红篇$HH$2022-06-23 23:58:52$0$有趣
553$26972694$狐妖小红娘剧场版：月红篇$枕山栖谷$2022-08-31 11:12:32$0$最不喜欢的一篇，太纠结了，虐的莫名其妙，莫名不喜欢红红。
554$26972694$狐妖小红娘剧场版：月红篇$巴啦啦柠$2020-07-05 22:37:31$0$涂山这一条线真的百看不腻，红红和月初真的太虐了😭求求了让他俩转世好好续缘吧。
555$26972694$狐妖小红娘剧场版：月红篇$呻占记诵$2020-05-21 20:40:14$0$还是呆萌的好
556$26972694$狐妖小红娘剧场版：月红篇$子月离$2021-05-30 08:54:19$0$月红意难平
557$26972694$狐妖小红娘剧场版：月红篇$Yanc八号$2019-07-22 00:54:48$0$补评
558$26972694$狐妖小红娘剧场版：月红篇$脱非入欧$2019-03-09 14:36:47$0$东方月初和涂山红红
559$26972694$狐妖小红娘剧场版：月红篇$潇潇雨歇$2017-05-31 13:15:00$0$虐
560$26972694$狐妖小红娘剧场版：月红篇$明天你好$2017-07-01 23:54:03$0$他俩吵吵闹闹的真的很有意思，月红cp😍😍😍
561$26972694$狐妖小红娘剧场版：月红篇$风鸟$2017-12-11 07:52:00$0$国漫雄起，支持
562$26972694$狐妖小红娘剧场版：月红篇$pluie$2021-03-13 02:49:39$0$就记得当时很喜欢 这种强强在我磕点上
563$26972694$狐妖小红娘剧场版：月红篇$watermelon$2019-06-13 22:36:33$0$你的手，穿过我整个胸膛
564$26972694$狐妖小红娘剧场版：月红篇$可以在无聊点么$2017-06-25 21:48:26$0$"东方月初是你们！
王权富贵请给我！"
565$26972694$狐妖小红娘剧场版：月红篇$豆友185976937$2018-12-23 08:20:49$0$大爱
566$26972694$狐妖小红娘剧场版：月红篇$Blank空白帧$2017-12-22 20:57:03$0$东方月初和涂山红红是我初心啊，虽然白月初和苏苏也很有爱，但是最爱还是月红！！
567$26972694$狐妖小红娘剧场版：月红篇$小拜$2022-04-10 10:37:26$0$月红篇的详细版吧，比原先讲的稍微详细一点。
568$26972694$狐妖小红娘剧场版：月红篇$清水能之介$2021-11-18 20:19:57$0$月红篇yyds
569$26972694$狐妖小红娘剧场版：月红篇$印染$2021-04-25 00:17:00$0$所以红红是怎么变成苏苏的啊！！！
570$26972694$狐妖小红娘剧场版：月红篇$凌先森丶尘$2019-08-22 08:47:08$0$莫名其妙的一对
571$26972694$狐妖小红娘剧场版：月红篇$明河共影$2021-05-27 16:02:04$0$累了，等有时间再评，
572$26972694$狐妖小红娘剧场版：月红篇$苏梓良姜$2018-05-14 00:15:56$0$月红篇最好看了
573$26972694$狐妖小红娘剧场版：月红篇$玉桂狗（学习中$2022-09-01 18:11:50$0$很感动红红和月初的感情，月初为了红红的愿望一直努力着！
574$26972694$狐妖小红娘剧场版：月红篇$阿哒哒阿哒哒$2020-03-12 22:26:05$0$"月红CP也很虐，哭😭
虽然我爱东方月初，可我还是不明白为什么白月初是天翔哥哥，东方月初却要是杰大。
虽然我爱东方月初，可我还是想给他把头发好好理一理。"
575$26972694$狐妖小红娘剧场版：月红篇$Amber$2017-07-07 08:03:47$0$国漫加油加油(｡ì _ í｡)
576$26972694$狐妖小红娘剧场版：月红篇$闪点Paradox$2017-06-21 01:14:54$0$红红和月初还有石宽和公主真是各种赚足泪点啊……月红篇太完美了，还引入了黑狐、傲来国和苏苏的法宝，同时圆了一点点王权富贵篇结局时今生的未完待续，简直想给六颗星啊！多一星不怕你们骄傲啊！
577$26972694$狐妖小红娘剧场版：月红篇$橘子和白开水$2021-08-12 04:52:09$0$【补】2019.2.16
578$26972694$狐妖小红娘剧场版：月红篇$李浅浅$2017-08-16 21:42:23$1$穿过你的心的我的手
579$26972694$狐妖小红娘剧场版：月红篇$星辰早上好$2020-02-20 20:42:46$0$好看
580$26972694$狐妖小红娘剧场版：月红篇$红瓦$2018-01-23 17:20:39$0$几个月前因为受不了东方美人长长的呆毛没接住盆友的安利，我有罪！我忏悔！我要给月红交结婚份子钱！
581$26972694$狐妖小红娘剧场版：月红篇$Likw$2022-04-12 15:20:39$0$月红篇真的好戳
582$26972694$狐妖小红娘剧场版：月红篇$微~smile~笑$2018-09-05 15:31:13$0$红红，酥酥
583$26972694$狐妖小红娘剧场版：月红篇$豆友215233197$2020-08-03 08:41:15$0$月红不错的，歌也很好听。趣与燃可以说巧妙结合了，比较和谐统一。
584$26972694$狐妖小红娘剧场版：月红篇$小雪花$2020-04-11 06:51:38$0$加油
585$26972694$狐妖小红娘剧场版：月红篇$某木偶人$2018-08-26 07:33:37$0$我是她的童养夫哈
586$26972694$狐妖小红娘剧场版：月红篇$踩月而来的怪$2022-04-03 22:17:15$0$红红本应该很高傲的
587$26972694$狐妖小红娘剧场版：月红篇$一颗柠檬糖$2022-05-07 08:36:07$0$不错
588$26972694$狐妖小红娘剧场版：月红篇$默尔索小姐$2022-05-15 18:13:35$0$东方月初还是挺感人的
589$26972694$狐妖小红娘剧场版：月红篇$Rainbowthief$2019-10-04 20:07:59$0$月红cp不可拆。
590$26972694$狐妖小红娘剧场版：月红篇$柠檬百香果$2017-11-01 14:08:21$0$最爱月红篇！！！
591$26972694$狐妖小红娘剧场版：月红篇$今天天气好晴朗$2020-11-01 13:35:02$0$答应我 月红和白苏都不能be！！！
592$26972694$狐妖小红娘剧场版：月红篇$Inflatablebaby$2022-07-04 23:32:40$0$咋拍啊 太羞耻了吧
593$26972694$狐妖小红娘剧场版：月红篇$年年有余$2022-05-31 21:40:07$0$感觉这一篇有点奇怪
594$26972694$狐妖小红娘剧场版：月红篇$我的小呀小马甲$2018-09-26 11:50:55$0$月红和白苏都超赞
595$26972694$狐妖小红娘剧场版：月红篇$momo$2021-04-10 18:41:44$0$不知道为啥……就是不戳我
596$26972694$狐妖小红娘剧场版：月红篇$菠萝味的柠檬$2019-11-15 21:30:11$0$很棒，狐妖系列的都很好
597$26972694$狐妖小红娘剧场版：月红篇$momo$2022-05-11 23:20:34$0$开膛手红红
598$26972694$狐妖小红娘剧场版：月红篇$momo$2020-08-21 23:56:10$0$虽然在现实中不想接触比我小的男生，但是在各种文艺创作中还是最喜欢年下养成，从初中开始看到现在最喜欢的还是月红，但其实在某种程度上这也是白苏的前世了，就让他们停在那个时空吧，今生也要好好相爱
599$26972694$狐妖小红娘剧场版：月红篇$只爱陌生人$2018-05-23 11:23:20$0$月红CP也不错，只是红红性格不太出彩……东方美人真是小可爱~
