$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$3037329$遥望南方的童年$窗边的小豆豆$2019-08-13 21:05:29$1210$这个片子，我想打一万分。推荐所有人去看。如果以后等我退休后 中国还是有这样的地方 我会考虑去；如果是成为坐拥财富者，我一定要去建学校。实际上大学时代支教过两次，当时环境不比片中好 甚至当时一个地方连电和水都不同。这也就是十多年前的事情 历历在目，有一个当时只有四岁的小朋友一直和我保持联络到现在。这片子让我回忆起很多那时候的时光，特别感动，片中这老师太值得倾佩。虽然我拿我们这些博士的学术成果对社会的贡献来比较他的教书育人对社会的贡献是不妥帖甚至是无法比较的，但是我的确深感我自己对社会的贡献还远不及他的九牛一毛，尽管他连普通话都说不标准，但这却更显示出来了这位老师的高尚之处。感谢大象放映室让我了解到这部片子。
1$3037329$遥望南方的童年$局外人psy$2018-12-23 22:55:36$349$真实到可怕，这就是我的童年，这就是农村教育现状。
358$3037329$遥望南方的童年$小雨$2019-10-30 02:22:04$0$开头就很有意思。后面虽然淡淡的，并不抓人，但是情绪一直在，到了结尾又起高潮。今年我也拍了一部类似题材的半纪录片。孩子还是感染人啊。
359$3037329$遥望南方的童年$Aaron爱发呆$2021-08-18 02:44:24$0$为错过这么多年深感抱歉…
360$3037329$遥望南方的童年$Lollipop$2020-01-26 10:09:20$0$留守儿童的生活，这样一部朴实的好电影，希望有更多人看见，更多人关注。
361$3037329$遥望南方的童年$idoi$2019-10-29 17:15:17$0$打工生存，抛家弃子，诶，都这样，都这样，孕育着悲惨人生，太艰难了。
362$3037329$遥望南方的童年$倒行逆施$2022-07-24 14:37:57$1$追风少年当年说过这片是标准的宜春话。富有人类学意义的故事，法制故事片的拍法不能强求。大美江西。
363$3037329$遥望南方的童年$Ferrariwqq$2019-10-02 22:10:37$1$看完片子想到的是留在家乡踏实做事的人，即使默默无闻，但不卑不亢，值得敬佩。盛世中国70年看这样的片子更有意义，毕竟国庆已经过去了，鸡血应该打完了。
364$3037329$遥望南方的童年$佩琑吖$2021-04-19 21:02:20$3$电影里的每一帧，都充满着浓浓的农村气息，以至于我每看一幕都会忍不住联想到自己的童年。邻里乡亲的吵骂，孩童们在田间的游玩，一幕一幕，都与我的童年那么相似。外出的父母，留家的孩童，以及那永远也遥望不到的“南方”，无数留守儿童的童年就在这样的无尽等待与孤寂的日子里度过了。当我们长大，当他们老去，后来的我们还会在一起，可时间早把童真与期望带走，留下的只有疏离的亲情。真希望这样的童年，越来越少人有共鸣
365$3037329$遥望南方的童年$隐匿$2020-08-11 10:07:53$1$说不出来，为什么会给这么高的评分。。历史和过去真的是不同的东西，以后还是多学历史吧
366$3037329$遥望南方的童年$豆瓣将酱$2020-12-18 03:32:30$1$"当砣砣扭头问易老师：我爸爸什么时候回来呀？
易老师回答：你爸爸也是过年时候回来咯。
砣砣回头一脸喜悦的：噢
瞬间泪目，看着他们站在山坡上遥望着要一直往前走一直往前走的南方，这样的童年令人心碎又心疼深有感触。"
367$3037329$遥望南方的童年$芒果家$2020-05-05 20:50:44$0$中国江西宜春，可以当成纪录片来看，感动。。。
368$3037329$遥望南方的童年$豆酱好吃吗$2019-08-27 21:07:20$1$真实，农村文化环境现状。鼓励加一星
369$3037329$遥望南方的童年$酒歌$2021-06-09 13:57:36$0$在b站看完了，心情很沉重。
370$3037329$遥望南方的童年$千野风狂$2022-04-02 22:48:30$0$没想到还有如此劲道的电影，当片尾写到，全部由非职业演员完成，猛觉，如此真实再现我这种90年南方童年农村生活的作品，太过难得。一下子想起那山那人那狗，朴实无华，感动人心。用最简单的手法，带我重温那个岁月，今时今日，仿佛昨日。有幸，遇见这样的电影。祝福你，我的故乡。梦里再见了，我的童年。感谢导演，感谢这部电影所有的制作人
371$3037329$遥望南方的童年$半罐水$2020-05-15 00:52:33$0$看完电影最大的感慨怕是，倘若没有能力养小孩，就不要生啊，不然搞得小孩跟上帝似的，只在需要的时候想起来。说到底，这也是被集体观念绑架的结果吧。而易老师和师母的形象，放到当下，恐怕已经会在宅心仁厚与人善被人欺之间权衡了，毕竟身边太多这样的例子：善良的人总是在替别人负重前行。
372$3037329$遥望南方的童年$eval$2020-03-21 00:36:23$0$真实地就像是毫无修饰的纪录片，台词几乎全是江西宜春方言，和南昌话很接近。电影充满人文关怀，很感动。
373$3037329$遥望南方的童年$誰是__大英雄。$2020-08-08 10:16:43$0$留守儿童真的好可怜，易老师也是个好人。看的挺难受，我想要世界是他该有的样子，幼有所养老有所依。我觉得打破规则收婴儿的易老师是一个破坏者，虽然事情已经这样了无法挽回。
374$3037329$遥望南方的童年$小马过河$2021-12-21 18:23:55$0$1：19：52坐一下，在这坐会儿，等下坐会儿吃晚饭在走。
375$3037329$遥望南方的童年$啤酒花$2022-09-12 17:09:51$0$农村 教育 留守儿童
376$3037329$遥望南方的童年$蘅芜的闲野$2021-02-03 00:40:57$0$是部好电影。
377$3037329$遥望南方的童年$Nicolas$2019-08-25 19:59:58$0$电影的镜头、配乐以及情节设定都有很大问题。既然拍农村现实题材的电影，而且演员和场景本身都充满“原生态”的粗粝感，这个时候再用什么摇臂镜头呀，宏大音乐呀，就显得花哨和做作。影片的表现形式和表现内容是两个完全脱节的状态。但是，从影片暴露出的中国农村问题来看，影片还是值得肯定的。
378$3037329$遥望南方的童年$muqimm$2020-11-29 15:30:38$2$在up主那里看的解说。唉！泪如雨下！自己家里的小家伙如珠如宝，这些留守乡村的孩子们啊
379$3037329$遥望南方的童年$难遇$2021-03-10 16:42:43$1$这部电影没有一个镜头是在江西农村外拍的，但题目中的”南方“却无处不在。南方，村民、孩子的父母们打工的地方，成为一个缺席的存在。它存在于如同李响那样的少年的梦里，存在于秀秀那样的留守孩子发出的问题里
380$3037329$遥望南方的童年$⊙$2019-10-04 10:39:30$1$失落的童年，少年，青年，中年，壮年，晚年
381$3037329$遥望南方的童年$TitiCaca$2019-08-14 10:24:05$0$既真实又纯净，眼泪止不住的流！！！
382$3037329$遥望南方的童年$弹涂鱼$2020-07-15 14:34:48$0$又哭
383$3037329$遥望南方的童年$浓浓$2020-01-18 17:28:17$0$播放民歌那段送别，哭料。。
384$3037329$遥望南方的童年$null$2019-01-11 14:14:56$0$南方，让人想起《暴雪将至》里的香港，去不了，也回不来。
385$3037329$遥望南方的童年$无量河$2020-05-05 15:12:45$0$底层循环，群众演员演技真不错
386$3037329$遥望南方的童年$北固楼$2022-01-09 13:46:02$0$只敢看一遍的神作，太过于写实和深刻
387$3037329$遥望南方的童年$极速飞龙$2022-11-06 14:27:21$0$泪流满面，这就是中国教育的现状，这么好的电影现状才看到，希望更多的人能共鸣。
388$3037329$遥望南方的童年$后院失火$2019-01-08 15:02:26$1$不滥情的煽情才是高级的煽情，导演片里主角就是个有爱心的普通人，没有全程闪着光。除了音乐偶尔有点突兀，全片感情非常连贯。
389$3037329$遥望南方的童年$byds05$2019-09-30 21:36:45$1$电影从30分钟砣砣出走后才渐入佳境，导演想表达的农村问题非常现实和残酷，农村问题历来是大问题，对农村抽血如此严重恐怕也只是当代才出现的事。
390$3037329$遥望南方的童年$littletree$2022-09-30 03:53:12$0$生而不养，为何要生？小孩子需要爱的陪伴，童年经历对人影响还是挺大的。
391$3037329$遥望南方的童年$樹$2019-08-30 22:31:00$1$很清澈，故事令人伤感，低成本制作、非职业演员，音乐跳戏、部分演员的走位僵硬，但不妨碍影像的纯净感。城乡之别，乡村既回不去又时常令人挂念，没有捕捉到乡村的风、树林以及蝉鸣，人物又一次变成权力的符号。乡村有时候在沉默时更浪漫，侯导的《童年往事》让人理解自己、记忆、未来，而不是窥视他者，煽情的长镜头还是煽情。
392$3037329$遥望南方的童年$霐隐$2019-10-23 18:38:34$0$你真以为政治宣传的大城市，是统治阶级的政策给领导起来的、
393$3037329$遥望南方的童年$瓶子$2020-03-31 22:27:47$0$挺有趣
394$3037329$遥望南方的童年$生不逢时$2019-11-23 05:46:27$0$真实故事，本色出演，这才是好电影，相比之下，其余国产电影99%都只会浮躁搞虚的。国产电影该静下来反思二十年了
395$3037329$遥望南方的童年$pretty-boy_$2020-09-08 22:05:48$0$真正的国产人性大片
396$3037329$遥望南方的童年$蓝清凌$2019-09-02 20:59:23$0$留守儿童，空巢老人，看得很心酸……秀秀那么小的年纪，脸上全是忧愁。砣砣什么都不懂，却能很容易感受到快乐……每个人都那么不容易，生而为人，太过艰难……
397$3037329$遥望南方的童年$好吃懒做果$2021-12-02 15:04:53$0$最真实的就是最感人的，看到易老师和瘦根带着两个孩子站在山头便突然明白了遥远的南方是什么意思，充满遗憾和残酷的遥望
398$3037329$遥望南方的童年$ayake$2022-10-16 19:17:53$0$和我爷爷家，外公家，一样一样的，真实的力量
399$3037329$遥望南方的童年$Purple$2022-09-04 22:48:14$0$真实的留守村落
400$3037329$遥望南方的童年$饮朕止渴$2019-08-15 14:17:31$0$想到了当年看的《一个都不能少》，一样关注于农村教育问题，一样直击泪点
401$3037329$遥望南方的童年$很饱的贼$2021-04-15 20:10:05$0$很自然写实的小成本生活片
402$3037329$遥望南方的童年$西鸟$2020-01-02 06:22:14$2$这不就是伟大师者吗，这不就是好电影吗，可这会是个好的社会吗？遥远的故乡，回不去的故乡呐
403$3037329$遥望南方的童年$楚狂歌$2019-08-24 21:31:00$0$在大众习惯了奶头乐的今天，看这种电影让人真实的刺痛，需要勇气。真实的农村，国度另一面。现实中不能承受之重。我们不只是有北上广深的霓虹灯火，也有萧条的农村和被漠视的孩子。
404$3037329$遥望南方的童年$2999$2023-02-25 17:32:14$1$现实社会下行走的理想主义者。用这句话来形容易老师是当下社会最大的悲哀！
405$3037329$遥望南方的童年$摸鱼居士$2019-05-26 17:19:35$0$童年而又加以这样的修饰词，几乎是残忍的
406$3037329$遥望南方的童年$奥利维亚$2021-05-23 20:42:24$0$2007的电影。导演处女作，演员全部都是当地村民，真实原生态。影片描述留守儿童的各种现实问题，仅凭一两人微薄之力实难改变什麼，易老師的勇氣與堅持令人感動。现在2021了，不知中国的留守儿童问题如何了
407$3037329$遥望南方的童年$Leslee_H$2019-07-13 18:41:45$1$"看完才明白电影名字的含义：当父母为了生计而常年奔波在“南方”的时候，留在故乡的孩子，他们的童年一直都是在遥望父母所远去的那个“南方”。
影片虽然用的都不是专业演员，但胜在真实，真实得可以以假乱真。"
408$3037329$遥望南方的童年$潇蔚$2019-11-17 11:57:39$1$"“爸爸妈妈过年就回来！”
——留守儿童的期待与梦想，在乡村教育中折射出“任重而道远”。
同时也反映了乡村的凋敝、民风的侵蚀、空巢老人的无奈、民工的心理阴影等社会进程中的诸多“碎片化”。"
409$3037329$遥望南方的童年$华丽小艾$2021-06-22 23:06:36$0$性相近，习相远。教育从小孩抓起，不能过于放任，教育才能打造高素质国民！
410$3037329$遥望南方的童年$江湖宵小$2019-10-13 11:34:15$0$谈不上好。有点意思。
411$3037329$遥望南方的童年$半夏rose$2021-09-05 19:35:31$4$把农村拍的太真实了，把农村人也拍的太真实了，跟我小时候生长的环境一样，我也是长大了才知道，原来城里的孩子上小学之前是要上幼儿园的。我家没有老人可以帮衬，所以父母一方总有一个人留在家里带我，真的很感激，让我好好的长到了现在。
412$3037329$遥望南方的童年$飞来$2021-06-06 23:21:21$0$"同作为遥望南方的这一代留守儿童，很庆幸我能健康快乐地长大成人。
农村还有更多的老人。"
413$3037329$遥望南方的童年$容多多$2022-03-31 23:56:59$0$留守儿童的家在哪里？
414$3037329$遥望南方的童年$快乐的江湖骗子$2021-03-05 16:22:57$0$在老家的校长，没有糖炒栗子的童年。
415$3037329$遥望南方的童年$BouBou.Ma$2009-02-16 15:29:21$0$昨晚中央六看的 刚开始在沙发上上网 最后不上网了 看这个片子 呵呵 坨坨很可爱
416$3037329$遥望南方的童年$啤老师$2019-12-08 20:09:51$0$题材很好，现实很魔幻。
417$3037329$遥望南方的童年$酥麻$2020-10-03 18:00:23$1$唯有真诚可打动人心
418$3037329$遥望南方的童年$Gmc2$2022-02-12 20:10:07$0$太真实了
419$3037329$遥望南方的童年$野先驅$2021-08-06 14:12:55$2$没想到是在我们宜春拍的，虽然不是同一个县，但是方言有很多相似。非常原生态，不做作，不矫情。我一直在想，二十年代了，现实依然惨烈，我们还有机会看到类似这部片子、类似《三峡好人》的粗粝生猛的镜头吗？
420$3037329$遥望南方的童年$鶴少爺$2020-04-19 14:17:41$0$宁静的山水田园，凋敝的农村，无处安放的留守儿童，就像一篇优美的散文一样动人。但易师母接过易文才家小婴儿那一幕感觉像看了一段主旋律片情节，不符常理的伟光正举动，不知现实是什么情况。把那五分钟剪掉，我就会给90，一群素人演员叫骂是叫骂，碎嘴是碎嘴，特别生动，秀秀妈的哭戏吊打国内99%职业演员。
421$3037329$遥望南方的童年$清风过大江$2022-02-12 21:06:27$2$回望真实的家乡，读书受教育不是为了离开贫穷的家乡而是为了改变的贫穷的家乡，真实令人感动。
422$3037329$遥望南方的童年$skyandstar$2021-09-23 23:58:34$0$Why communication all depends on roaring.
423$3037329$遥望南方的童年$老泉$2019-02-23 23:44:53$0$太真实了
424$3037329$遥望南方的童年$来信的死者$2020-07-11 01:43:05$0$浓浓的乡土气息，真实度自然不在话下，街坊邻里的真情实感寸寸到肉。只不过说教味太重，正能量太过而显幼稚，太红，受不了，不想评分。
425$3037329$遥望南方的童年$费又穆$2020-06-22 13:06:06$0$还可以再好一点，就是让更多人看到，并不是否认其价值，或许在少数人中流传审美价值更高，但社会效用必然十分有限，我相信创作者的初衷绝不只是作为艺术品供人审美
426$3037329$遥望南方的童年$everstar$2019-09-30 15:36:17$0$只管生不管养，凭什么你要生就可以生，要不养就可以不养
427$3037329$遥望南方的童年$阅尽千帆拭风尘$2021-03-02 13:12:31$0$最好的电影，作为江西娃子必须顶
428$3037329$遥望南方的童年$向世界里去$2021-12-20 19:31:32$0$后来需要教师资格证等幼儿园开办资质，故民办学校只得作罢，典中典，一支独秀。不知道各种既未自立，又未智识成熟的spider是哪来的勇气生孩子，生而不养，一桩桩人间惨剧，牛皮。
429$3037329$遥望南方的童年$小蔡蔡最棒$2020-06-13 10:45:03$0$全面小康社会好啊！
430$3037329$遥望南方的童年$yukainju$2019-05-29 18:09:01$0$中国的老百姓骨子里是善良和传统的
431$3037329$遥望南方的童年$龙战于穹野$2019-08-17 10:33:34$0$这部电影和《上海堡垒》的共同之处就是：票房都不高。可悲
432$3037329$遥望南方的童年$原来是小浪呢$2020-12-07 21:02:52$0$比起儿童片，这更像是一部反映乡村留守儿童教育现状的纪录片。需要有多少易老师易师母，需要有多少启明星幼儿园，孩子们才能最起码有学上有人照顾。更气愤把孩子扔下不管生而不养的父母们，可怜的是孩子，心寒的是易老师们
433$3037329$遥望南方的童年$兰开斯特昭昭$2022-10-04 16:28:16$0$现实主义
434$3037329$遥望南方的童年$Samuel$2020-04-12 10:45:15$1$相比这个世界的喧嚣，许多城市小资在无关痛痒，纸醉金迷的生活中为一点情爱小事仿佛丧失生活意义时，可以转而看向这个广大包含着中国2/3人口的农村，什么是人间疾苦，什么是没有希望，什么是人间现实，什么是苦苦挣扎，什么是人生逆旅。一个国家的进步永远不是看先富的人到底有多富，我们举亿万群众之力只为了捧出几个富豪，几个可以和发达国家媲美的一线城市，算不得什么，一个国家的进步永远只看生活底层那部分最穷的人生活到底有多穷。
435$3037329$遥望南方的童年$禾一$2021-07-03 02:48:31$0$你看到撕裂与轮回，你看到坚持与期待，你在你的生活里镜映，你在影像里看到什么样的未来？
436$3037329$遥望南方的童年$一襟晚照$2020-03-28 22:31:27$3$一个连电话都没有的地方，仅凭热血和善意也没用，所有的问题，归根结底就是一个穷字。好的一面是，幼儿园小女孩并不比小男孩少，虽然主要是为了托人照顾，但起码比舍不得60块钱让孩子乱跑要好，还有李响的父亲，也反对她过早出去打工，支持她上学，还有片尾的字幕，起码还是看到希望的。
437$3037329$遥望南方的童年$一瓣香$2022-10-01 12:23:46$0$几十年里，中国一直有孩子在过着遥望南方的童年，他们的生活少有人爱，也少有人问津，这些孩子一出生就缺少了父母这层保护膜，接受着本不应该承受的恶意。但是幸好，有易老师这样的人存在，给予他们爱与包容，让他们的内心免于外界尖锐的刺，能够健康快乐得成长。我相信中国还有这样的人，我也希望中国有更多这样的人。最重要的，希望中国父母们给予自己孩子更多的爱与关注，他们只是希望自己被你们看见。
438$3037329$遥望南方的童年$大眼袋儿姨娘$2021-03-06 00:04:55$0$私人出资办教育，没有被流言蜚语动摇，没有被入不敷出打倒，却因资格办证的问题被有关部门叫停。 对留守儿童来说，教育就像护卫砣砣的那棵巨树，为他带去内心的安宁和希望。教育能让他们的心比身更早地飞跃山村，而不是在最花样的年华潦草打算自己的余生。
439$3037329$遥望南方的童年$momo$2022-01-17 00:12:13$0$竟然全是非职业演员，面对镜头没有一丝的不自然，反而显得特别真实。当然故事本身也很真实，只是时至今日，现实生活中易老师和师母这样的人真是越来越少了吧
440$3037329$遥望南方的童年$姝$2020-12-15 15:56:20$1$大概是看过的第一个用江西方言演的电影吧。刚开始看的时候因为称得上是熟悉的方言关系觉得新奇又欢乐，看着看着只要出现板车拉着学生在路上走的镜头就忍不住哭。留守儿童是一方面，片子刻画的村里人的想法、计较、争吵、矛盾曾在身边发生过，极其真实。打牌、樟树、板车、夫妻间吼式沟通、田里放水、相互见面问候的客气话、幼儿园时期的田间玩耍、借饭……太多熟悉的场景了
441$3037329$遥望南方的童年$Matthew$2022-11-20 15:14:56$0$"1.这不像是部电影，更像是一部纪录片
2.不开字幕我也都能听懂了，哈哈哈，宜春话和我们那简直一模一样
3. 农村教育+留守儿童问题，在城市化的进程中无法避免。有幸的是，我的爸妈没有选择去深圳打工，而是在家和我一起成长。说到这一点，真的很感谢爸妈。
4.我在想，这接送板车，下雨可咋办呢？但是这辆车隐喻的就是孩子们的希望和寄托啊。
5.秀秀缺失的母爱，无法用玩具来弥补吧。
6.最后秀秀和跎砣的苦笑，真的让人心痛
7.农村的早婚早育，害了多少人？确实正如秀秀的伯母所说，有本事生，没本事养，苦了都是小孩子。
8.穷家富路，谓居家应节俭，出门则要多带盘缠，免遭困窘。"
442$3037329$遥望南方的童年$蓦兰$2018-10-04 01:46:27$0$朴实！
443$3037329$遥望南方的童年$乙醇$2021-09-17 18:58:28$0$在人间
444$3037329$遥望南方的童年$二$2021-12-28 17:52:29$0$"想起了春晚的那个小品，我妈就是卖白菜滴。那个小品是不是就取材自这部电影？
十几年前的农村留守儿童困境是时代的记忆，因此国家不遗余力地办教育、搞经济，发展旅游业，能吃饱饭就不要出去打工了，好不好？"
445$3037329$遥望南方的童年$Ivan$2021-04-13 19:50:00$1$"秀秀伯母说出了电影最重要的一句话：有本事生，没本事养。
全部由当地非专业演员出演，演得是有点不自然，不过这个已经不重要了。"
446$3037329$遥望南方的童年$知识分子方鸿渐$2022-08-07 22:53:30$0$李响晚上找易老师说明天她不去幼儿园了，要准备重新学习考幼教，易老师说读书好那一段，居然差点把我看哭。。这泪点，太低了太低了。。。
447$3037329$遥望南方的童年$与与如也$2011-01-16 00:56:45$0$八年前第一次看，据说最近挺火，又刷了一遍。
448$3037329$遥望南方的童年$舒小简$2022-08-08 22:38:55$0$9.4是不是太高了……
449$3037329$遥望南方的童年$KFCharlie$2021-11-27 20:14:20$2$真的是年度治愈，宝藏电影。世界上最深情和温暖的互骂。怎么能把悲情做得这么笑中带泪的。每个女人都骂得好生猛。还有坨坨那句“伯伯”和孩子们为拖车的叔叔喊“加油”，真的瞬间破防。
450$3037329$遥望南方的童年$曼达$2021-09-27 22:29:13$1$听到《不怕不怕》居然想流眼泪……
451$3037329$遥望南方的童年$说明书$2019-06-05 05:04:32$0$过于真实和质朴，电影质感是没有了可是现实冲击力暴增。
452$3037329$遥望南方的童年$明一$2020-07-12 20:54:36$0$救救孩子吧，救救教育吧，别空喊口号了！
453$3037329$遥望南方的童年$美丽世界$2020-12-20 13:20:03$0$不知道剧中的孩子十多年后，变成了什么样子了？
454$3037329$遥望南方的童年$foggy froggy$2019-06-29 17:20:30$2$农村教育困局，江西好人，又真实又不是滋味，拍得有一点贾樟柯的风格。易老师带着两个父母在深圳打工的留守儿童，在山顶望向南方云雾缭绕的山峦说：一直往南走，就是深圳了。想到王家新的诗：山那边的山啊，铁青着脸，给我的幻想打了一个零分。
455$3037329$遥望南方的童年$NottMee$2021-10-03 22:13:45$1$真实不做作，坚韧的民族，善良的人民，不高的梦想，XX的**
456$3037329$遥望南方的童年$广人$2020-06-27 15:26:10$0$很少看到有这种镜头对准乡村教师的电影。故事很平凡，无趣，但平凡为人带来的感动才更弥足珍贵。故事非常写实就让人感觉是真正发生过的事重新在荧幕上再放了一次。其中有一段逗笑我了，易老师用着他的江西方言教孩子们念人之初，让我想起那个特别火的教孩子们念咕噜咕噜那个视频哈哈哈
457$3037329$遥望南方的童年$成为光$2019-05-01 15:37:10$1$这不是单纯的留守儿童或是农村教育问题，这是一个完整生态下的人生百态
458$3037329$遥望南方的童年$劳斯特张$2021-06-08 05:24:13$0$拍得真是好
459$3037329$遥望南方的童年$特立独行的麦兜$2022-06-04 14:35:40$0$聚焦农村留守儿童，值得所有关心下一代工作者看的一部电影
460$3037329$遥望南方的童年$一叶知秋$2021-04-30 07:51:13$0$没有票房没有关注，还有人愿意拍这样温暖人心的电影，就是最大的欣慰。
461$3037329$遥望南方的童年$Peleus$2019-08-15 10:00:11$0$真实，粗粝，又让人难受。
462$3037329$遥望南方的童年$熄晚灯$2022-03-20 20:06:24$0$坨坨就是小时候的我，但我是真掉进鱼塘了
463$3037329$遥望南方的童年$铭志于岩$2023-01-27 01:34:01$0$晚婚晚育宣传片，养不了就不要生了。
464$3037329$遥望南方的童年$水木葳蕤$2019-08-26 20:58:41$0$看了解说，看的五味杂陈。浓缩的社会变迁，农村正在不断消失而城市拼命涌进外来务工，这种现象将会持续整个国家发展时期，十几年前的孤寡老人和留守儿童的话题到如今好像变少了，别人说是因为第一代打工者已经回到故乡照顾父母了，而留守儿童慢慢成长为新一代的打工者。关于结果也是处理得很心酸了，对不得已必须去深圳打工的村民，主角无奈只好说了一句，早点回来，这句是点睛之笔，无奈之言，仿佛是对那个人说，也仿佛是对所有外在打工的人说。
465$3037329$遥望南方的童年$VOYAGE Ryan$2022-07-23 23:39:04$0$贵在真实
466$3037329$遥望南方的童年$Bailey$2019-11-26 00:14:34$0$希望有些事能够永远停留在2007年
467$3037329$遥望南方的童年$Travis Lee$2021-03-24 16:55:39$0$主人公没有表演痕迹，实属不易，导演和摄影太过稚嫩
468$3037329$遥望南方的童年$钓鲲$2021-02-01 12:36:23$0$我无法做到片中老师那样，尤其是在农村，阻力很大；学校这些，如果仅仅只靠一些有理想的老师用爱发电，那无疑让老师把农村所有的不幸、纠缠全部吸在他一个人身上。村里所有“不幸”的人全往他身上靠。这不，结尾有一男的把自己的孩子托给他了。太累了。
469$3037329$遥望南方的童年$窗外那棵树$2021-09-06 19:43:59$0$留守儿童的苦和痛远不只是电影展现的这些，还有后面一系列的问题，有纪录片的话，应该可以设立一个至少三十年的跨度，一代人！
470$3037329$遥望南方的童年$狗哥$2022-07-26 15:15:03$0$因为演员都是当地人，所以在表现力这块肯定有些欠缺，但又因为是当地人，所以那种真实的感觉不是一般人可以演出来的质朴与真实，导演很厉害，敢于选用真实地方人作为演员。不得不说，这部片子是很好的作品，真应该作为教育电影给很多人去看看，去了解农村留守儿童。这就是江西省宜春市的乡村真实情况！更是很多中国偏远郊区的农村真实情况，老人孩子是那么让人可怜和同情，我的泪腺几次翻涌…如果细心的话，可以发现，导演姓易，可能这就是他的家乡，很多出演的演员都姓易，所以这是一部给人希望和梦想的好作品！我们要相信光，相信自己有朝一日可以过上好日子，得到自己想要的一切，让自己的亲人团聚在一起。只管努力，只管相信，只管去拼搏吧，上天会把你想要的都给你的！加油！
471$3037329$遥望南方的童年$玛那 Mana ：）$2019-11-27 22:28:43$0$中国的教育真难，难上加难。
472$3037329$遥望南方的童年$不码字$2020-03-10 21:37:22$1$太好了
473$3037329$遥望南方的童年$北纬30.1$2020-10-20 21:19:45$0$煽情，但是稳健，结尾略有新意。
474$3037329$遥望南方的童年$电影大指南$2020-10-17 19:56:57$1$贵在真实！故事改编自真人真事，演员全是当地村民，所有的所有都是那么的真实纯粹。影片的伟大之处在于聚焦在山区农村的留守儿童，面对他们需要的关爱和教育问题，幸好还有易老师这样的人物存在。真的，再穷也不能穷教育。
475$3037329$遥望南方的童年$慕宫仪$2023-03-26 19:45:20$1$"打工的尽头是生娃，留在农村的尽头也是结婚生娃，生、生、生...生生不息即是农村生活的未来、幼儿园的未来，但这些孩子重复着父母的循环人生；如果没有生育，那农村终将销亡...一时间，我不知道这是好还是坏...
16年过去了，在一切“向钱看”的2023年，片中的孩子也都向他们的父母一样出去打工了吧？"
476$3037329$遥望南方的童年$杨大玉$2020-02-26 22:03:51$0$看完以后，发现我小时候还是很幸福的～心疼我可爱的小女儿。
477$3037329$遥望南方的童年$Zhou$2020-03-01 11:46:45$0$先不探讨剧情的逻辑问题，一句话“少年强则国强”，马云和任正非常都说“教育搞不好，就完了”，留守儿童是很现实的社会问题......
478$3037329$遥望南方的童年$米发发$2019-12-10 10:07:14$0$看不到一点能够变好起来的迹象。
479$3037329$遥望南方的童年$珍贵的尧尧$2019-08-28 22:36:28$2$有共鸣吧，毕竟我小时候也是没见过父母，只有奶奶带大，在农村没有见过爸爸妈妈，后面我回到家里，只有奶奶带大的我显得十分依赖奶奶，后来，奶奶出去了我就显得毫无安全感，整整一个下午，我甚至又哭又闹，妈妈怎么劝我都没有用，再后来，我又大了点，知道了奶奶其实更喜欢侄子不喜欢我。再后来，她中风了，在床上躺了七八年了。直到前几年她去世了，所有人都没有哭，而我在妈妈怀里放声大哭了一次。大概哭的是我无法挽回的童年吧！哭的是我自己心里的农村里的奶奶。那个曾经的自己。
480$3037329$遥望南方的童年$洛阳没有马$2020-05-12 10:35:14$0$五星好评。。。
481$3037329$遥望南方的童年$Eliza Hallinan$2020-08-07 11:41:19$0$留守儿童在现实生活中的无奈与向往，令人动容。
482$3037329$遥望南方的童年$Icarus$2022-04-15 14:24:55$0$真实比一切电影技巧都重要，这就是南方农村的现状，虽然生活水平提高了很多，但仍然有大量的留守儿童和老人。
483$3037329$遥望南方的童年$晴天$2022-10-14 19:14:19$0$很多很多人为了赚钱什么都干，很少很少人为了奉献自己都吃不饱，我达不到这样的境界，但我愿意尊重并且帮助这样的人。这样的老师，请多一点，再多一点，再多一点……
484$3037329$遥望南方的童年$白学家$2021-01-13 15:14:51$0$"小名“坨坨”.
仍旧记得小时候发烧，外婆背着我走路去小诊所的情景."
485$3037329$遥望南方的童年$宁弍$2021-06-17 19:40:27$1$伟大的乡村教师，让人心疼的留守儿童，相信中国的农村会越来越好，希望每个孩子都能在父母身边快乐成长。易老师是个好人，但是记得他的背后还有一个刀子嘴豆腐心的伟大女人马老师。
486$3037329$遥望南方的童年$灰色流水線$2022-08-31 14:01:06$0$纪录片
487$3037329$遥望南方的童年$大浩Colen$2022-04-10 21:54:12$1$"一览高楼无余，不蹚洼地泥泞。
三月不长，泪水熬成热汤。
"
488$3037329$遥望南方的童年$响亮的名字$2019-08-31 16:30:21$0$看着看着已经忘记电影的意义...这部浓厚真实气息的犹如纪录片一样的现实,让人觉得无助.
489$3037329$遥望南方的童年$Nicola$2020-05-11 12:28:33$0$看影片时，一直感叹是怎么把农村拍的这么真实的，直到最后字幕出来，全部都是非职业演员，而且村民的真实名字几乎都性易，突然明白了真实是因为这不是演出来的。取自真实故事改编，真的太令人动容了。敬重易老师这样的人。
490$3037329$遥望南方的童年$永久禁言$2022-01-30 15:27:27$1$主人公一家真是活菩萨呀🙀
491$3037329$遥望南方的童年$尛尛酥SKY$2020-12-27 15:32:18$0$我爸爸什么时候回来呀，过年
