$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26260853$速度与激情8$阿呆同学$2017-04-12 00:08:19$1701$妈的杰森斯坦森好帅啊好帅啊好帅啊好帅啊！！ IMAX太酷炫了！
1$26260853$速度与激情8$虾坨坨艺仔$2017-04-12 21:09:29$1281$喜爱大场面的朋友们千万不要错过这部汽车版的釜山行。
405$26260853$速度与激情8$怪力比多兽$2021-11-16 09:41:49$0$这Elena死得也太随意了吧，仿佛就是为了show up一下然后过个场，btw有共同的敌人就是朋友也真是淦啊，郭达可是杀害韩的凶手啊？速激这剧情真是越发没底线了。
406$26260853$速度与激情8$榜上有名猫$2017-10-03 00:34:54$0$前作的反派都洗白了，本作的反派很中二。两大亮点：监狱暴动桥段动作设计很带劲，傀儡汽车的场面有新意。作为爆米花电影，剧情没有突破，但是视觉处理尚可，除了最后潜艇那段凑数结局......
407$26260853$速度与激情8$江来$2017-05-21 09:34:55$0$电影告诉我们即使自己的老公不告而别也要相信他，即使看到他和别的女人接吻也要相信他！
408$26260853$速度与激情8$comeoverchen$2017-04-16 08:56:30$2$越来越没有速度只有激情了，太激情了，简直滥情，情何以堪的情。
409$26260853$速度与激情8$Indecent time$2017-04-14 16:26:53$5$僵尸车场面高能，阵仗有多大剧情就多无趣。imax爽，3D毫无必要，三条暗线各种强调family，让人想起跑男，最后心疼一下Han和编剧，一个白死，一个还得再胡扯两部以上——天知道这个系列会从小赛车变成007……
410$26260853$速度与激情8$kana$2017-04-30 20:27:53$0$音效不错 4D椅子摇晃到位 baby❤
411$26260853$速度与激情8$Angry River$2017-05-18 20:37:50$1$剧情弱智角色弱智动作戏弱智飙车戏更弱智，智障拍出来的智障片，没速度更没激情，这就是“拍给保罗”的速激？整个宣传期和电影结尾都在消费逝者，结果成片比预告还难看，去你妈的范光头
412$26260853$速度与激情8$爱睡觉$2017-04-14 15:03:18$1$有点乏味啊
413$26260853$速度与激情8$听说桐岛要退部$2017-04-16 12:52:13$1$一部没有看过的我表示全程无压力，根本不用考虑人设= =无非就是几个光头佬的基情之路，好吧，下一步该找个时间刷一下1-7了
414$26260853$速度与激情8$啊酷呐，吗嗒嗒$2017-08-12 17:05:12$0$各位觉得此片剧情脑残、台词肤浅、演技掉渣的，你们太认真了，对于我来说，此系列从第二部开始，重点就是那些层出不穷的性能车和超跑了。可惜，这部里各类汽车完全沦为打酱油的了。
415$26260853$速度与激情8$沙力兔$2017-05-10 12:41:09$0$好像 就不關車啥事了..笑话还是很好笑的；那句brian会知道怎么做 猛戳泪点；don的dodge被几条钢索困住时有点难过..
416$26260853$速度与激情8$小舞舞$2017-07-25 22:38:04$0$能把动作，飚车，犯罪和友情，亲情，爱情对接的如此合理而精彩的，只有FF这一家，更为难得的是这一系列没有续集扑街的宿命，相反在不同导演的操刀下总能焕发不同的光彩。速八的表现不如5，6，但在如今爆炸疲劳的视觉时代，还能让人不感到乏味，也足以称道了。
417$26260853$速度与激情8$BLAKE$2017-12-25 08:55:53$0$杰森斯坦森加一星。
418$26260853$速度与激情8$浑浑噩噩$2017-05-23 22:18:25$0$一星给情怀,三星给核潜艇和僵尸车海,至于编剧,真是毫无新意...套路再不更新,,真是玩不下去了
419$26260853$速度与激情8$心如止水$2020-05-02 01:39:53$0$根本记不起来里面到底演的啥，是在极寒之地冰面上开车的那一部吗？
420$26260853$速度与激情8$本初老儿$2017-04-19 11:37:30$2$不喜欢塞隆的角色，可能钱没给够，女神居然没有动作戏！尼玛！作为一只反派，真的不合适，更别提那些装腔作势的破台词了！
421$26260853$速度与激情8$年逝$2017-04-19 17:45:45$1$汽车僵尸等一些创意还都蛮好的。可我还是看睡着了。
422$26260853$速度与激情8$郭襄和杨过$2017-04-18 11:46:24$3$包装精致的垃圾
423$26260853$速度与激情8$monkeyC$2017-08-13 23:14:55$1$赛隆姐姐很酷，其他的实在是没意思了。
424$26260853$速度与激情8$饮歌$2017-04-19 09:59:39$4$这个系列拍到这个份上，只剩下无所不用其极的刺激荷尔蒙，以及尽可能多添加大明星了。
425$26260853$速度与激情8$深夜的阿斯伯格$2017-04-16 22:31:20$1$就这么让杀死韩和盖尔的肖入伙了，天上掉汽车的场景让我想起了侠盗飞车的作弊码，还以为背叛会于那十秒的飙车激情有关，毕竟不是一个拔高的电影。
426$26260853$速度与激情8$东巴$2017-04-14 22:19:30$1$编剧他妈是弱智吗？全片围着和小三的娃展开这种傻逼剧情谁想得出，锤嫂被杀那里真是被恶心到了，配角一个比一个廉价，韩尸骨未寒郭达就进组，跟他妈没发生过一样。好在商业元素属上乘，几场车战创造力不错，塞隆演得骚，否则真的只值一星。
427$26260853$速度与激情8$少年夏不安$2017-04-20 22:11:58$1$没啥意思。
428$26260853$速度与激情8$jess$2018-03-12 21:17:56$12$虽然主角光环强大，但动作戏，特效好评，在影院看的很爽，标准的爆米花电影。
429$26260853$速度与激情8$汽水|不core不得嗨$2017-04-22 03:02:40$1$所谓的不管评价多烂多无脑，都会去电影院看个imax全程无尿点从头激情到尾～反正diesel在一集追一集咯～所以他真的已经50了？！Unbelievable...塞隆这个眼窝真是太美太美太美了～
430$26260853$速度与激情8$诸葛福媛$2017-05-21 15:51:18$0$再炫酷的场面也无法弥补内核的空洞。这个系列在5的时候就该终结了。
431$26260853$速度与激情8$不见蝴蝶不见君$2017-04-17 23:44:19$3$我买成了配音版，整个过程耳边充斥着，哦，不不不，伙计，夫人，这难道不是xxx吗，孩子他爹~？？？？？？？？？几乎破坏了一半的观影体验，导致我回家后脑子里思考问题都是译制腔，太可怕了。
432$26260853$速度与激情8$Don't Panic!$2017-04-30 19:13:35$0$飙车党大战键盘侠，而且后者全程智商不在线，不知道她到底想要干嘛，估计她自己也不知道，蠢编剧大概更不知道，编不下去的时候一言不合就飙车，一言不合就爆炸。动作场面还行。巨石和郭达一路打情骂俏，不如你俩去速8开个大床房？
433$26260853$速度与激情8$似锦。$2017-04-17 15:58:55$0$有种他们在吃老本的赶脚，场面很宏大，所以，能不能不要在拍了....
434$26260853$速度与激情8$zzy花岗岩$2017-04-14 20:56:17$2$场面更大，动作戏更燃，中间不时的加些幽默对话，这一切都给观众带来愉悦的视听享受。相比之下，剧情只是配菜而已了。塞隆的女王气场依旧强大，海伦米伦出场短暂却博人眼球~
435$26260853$速度与激情8$持人的摄影机$2021-06-08 20:01:18$0$6.0/10。①家人被绑的唐老大被迫背叛团队与顶级犯罪黑客塞弗及其集团合作；渴求核弹的塞弗集团；唐老大的背叛导致主角团（包括霍布斯）被通缉，为了清除罪名也为了唐老大，主角团阻止塞弗集团拿到核弹；曾经被塞弗威胁的肖和郭达加入主角团洗白，一起打塞弗。②视听和故事再次主题乐园化，飙车戏依然是拿手好戏，其中塞弗集团操纵无数汽车封堵政府和塞弗集团vs主角团+唐老大的冰原大决战两段相对最为精彩。
436$26260853$速度与激情8$深邃儿童$2017-04-15 18:20:43$2$其他不说 这海报怎么这么混事
437$26260853$速度与激情8$мая$2017-04-23 16:38:02$1$5.5，鸡肋，而且越来越扯，朝超级英雄片那个方向走了，开挂开得太狠了，就中间那段大楼汽车雨还行
438$26260853$速度与激情8$生菜猫$2017-04-27 00:41:18$0$只记得在电影院夹娃娃了哈哈哈，电影讲啥都忘了。
439$26260853$速度与激情8$漫漫云端$2021-07-12 14:45:38$0$"千辆车大型失控的损失
保险公司不得赔到倒闭！
小伙伴儿想""五马分尸""多姆的车
结果个个被掀得人仰马翻
罗曼承包整个系列笑点的喜剧人
虽然速激就不存在讨论三观什么的
但是我还是忍不住吐槽系列8
这都啥啊
为了前任女友和儿子的安全
闷不吭声跟妻子和小伙伴儿作对？
而且说真的前任有儿子这个设定就挺操蛋的（儿子还那么可爱😱）
埃琳娜不死都不知道怎么收场
还有戴克就酱紫洗白了
果然亚裔角色不重要 韩终究是错付了🤮
新添加的女性狠角色赛弗挺带感的"
440$26260853$速度与激情8$阿吉娃娃$2017-04-22 00:12:10$0$竟然出乎意料的好看，节奏明快，笑点恰到好处，幽默，算是我看过这个系列里最好的一部了。僵尸车的剧情和五马分车还有潜艇追车的桥段很有新意中国移动的广告还挺亮眼……
441$26260853$速度与激情8$胖胖$2017-04-24 12:40:28$0$贱身界三巨头，郭达老师好演技。
442$26260853$速度与激情8$少年赵里昂$2017-04-11 09:39:38$26$速激系列在我心里，始于5代，终在7代。我喜欢郭达也喜欢新加入的塞隆女王，可电影的节奏已经不对味了。刺不刺激？惊不惊喜？无论僵尸车还是潜艇大战都很过瘾。但一味的在场面戏上寻求超越真的会走下坡路。我爱这个系列胜过很多人，所以才不愿看到“家人”的概念被挂在嘴上。片尾那句布莱恩才释怀一些。
443$26260853$速度与激情8$Shelly$2017-04-16 08:44:38$1$虽然没有了Paul walker，剧情发展也是在预料之中，但是还是觉得这是一部很用心的电影，没有让人失望
444$26260853$速度与激情8$鸫$2017-04-14 03:39:52$1$保罗的音容笑貌依然浮现在脑海里，可惜再也无法看到他的光影瞬间，相比令人唏嘘的速7，这一部让人感觉后劲不足，僵尸车是亮点也算不多的新意。
445$26260853$速度与激情8$晨昏$2017-04-16 18:51:17$1$你也叫布莱恩
446$26260853$速度与激情8$阳洋羊$2017-04-17 19:25:11$1$"说“速8”会让人误解为快捷酒店，说“激8”又不好听……
所以还是简称“速激”好了。。。"
447$26260853$速度与激情8$elvira$2017-05-06 22:23:41$0$素鸡在赛车路上越走越远，对于素鸡家庭的界定也是各种洗白之类的，这部核潜艇，感觉第十部要上天和漫威英雄们打一仗了。PS：塞隆留的长发类似于脏辫看着真难受，不能换个利落帅气的发型吗。
448$26260853$速度与激情8$max$2017-08-16 15:01:06$0$跟7相比，找回了不少脑子，亮点、创意也有，但一路飙到结尾真是看累了
449$26260853$速度与激情8$某J。624$2017-04-21 10:32:40$0$剧情简直是懵逼的，带着宝宝那段动作戏虽然看得很开心，但是这莫名其妙就手拉手的发展是神马鬼？前面便当的人就这么过去了，还是从8开始已经算是平行世界了？话说，要不下一部直接从头到尾特效和动作戏吧，要剧情干嘛，虐人虐己。唯一还能体现family的地方就是最后所有人用车挡爆炸了。
450$26260853$速度与激情8$烏滌非$2017-04-17 00:51:12$1$第一次看這個系列。感官刺激遠大於劇情。那個集體自動駕駛的場面還蠻驚人的⋯⋯然後就英國人一家子好萌。以及Roman很好笑哈哈哈哈。
451$26260853$速度与激情8$阿米巴原虫$2017-04-17 12:38:16$2$杰森斯坦森莫名的萌啊。和baby的互动，很有爱。
452$26260853$速度与激情8$Suri$2017-04-16 18:42:36$1$原来没看过速1-7，也完全不影响看速8。砸坏了好多小汽车，毁掉了好多大家伙，经费在燃烧。
453$26260853$速度与激情8$吉卜赛人$2021-11-12 23:23:24$0$还可以，无脑爽片
454$26260853$速度与激情8$Lush$2017-04-23 17:28:52$1$塞隆女神
455$26260853$速度与激情8$玩一兜$2017-04-12 22:10:48$7$讲真的，就是搞笑片，没见过被世界上最强的潜艇炸了还只是脸上有灰的男主，真的强。小男孩是确实可爱👶🏻
456$26260853$速度与激情8$Neroat$2019-07-06 18:00:46$1$除了刺激就没什么意思了，审美疲劳。
457$26260853$速度与激情8$非魚$2017-04-23 21:46:57$0$塞隆小姐姐和三个光头不得不说的故事
458$26260853$速度与激情8$比多$2017-04-16 09:59:28$1$作为爆米花电影，开篇戏、铺垫戏设计都很不错。唯独最后高潮部分，汽车战潜艇，概念不错，但是视听体现并不出彩。
459$26260853$速度与激情8$肥$2018-01-12 22:20:45$17$看過後感覺整體還不錯，希望還有下一季
460$26260853$速度与激情8$超cute侠$2017-06-17 22:03:17$0$美国人民还是很了解中国观众这种愿意看钱花在面上的心理的，柏林大铁球和纽约高空坠车两场戏的破坏程度看着都心疼，至于剧情方面则可以忽略不计了，秃顶肌肉男对我的吸引力还不如塞隆一笑。
461$26260853$速度与激情8$孑然殇逝$2017-04-17 23:19:42$0$拖沓的剧情让电影院里很多人都直接睡着或者低头玩手机，情节反转的让人摸不到头脑也是无话可说了，想洗白分分秒洗白………没必要拍9了
462$26260853$速度与激情8$Chuck$2017-07-07 06:09:36$0$迷人的大反派，讓人無論如何都恨不起來，一個是塞隆，一個是KB。但這一部劇情有很大的問題，強行洗白的戲碼我很不喜歡。為了塞隆再加一星，畢竟她那麼美！絲毫不見疲態，也算難得了。車戲不錯。
463$26260853$速度与激情8$鸡苑杂谈$2017-04-16 20:31:31$1$素J8
464$26260853$速度与激情8$旺仔 小馒头$2017-04-25 02:11:47$0$这种家族意味太重的片子看起来可像小学生扮家家酒的游戏 哈哈哈哈 不过我只看大场面 自动驾驶这个让我见世面了！不过也挺危险的动不动就被黑了...我比较喜欢dj音乐~~
465$26260853$速度与激情8$阿良$2017-04-14 23:45:45$3$比速7差远了 为了打而打 看得实在坐不住 过去的情怀已经翻篇了 没有保罗沃克还是差了点感觉
466$26260853$速度与激情8$莱尼圆$2017-04-24 20:00:44$0$如此失真浮夸也是没谁了，相当于那些开挂阿三片配上好莱坞特效团队，气势汹汹地全球圈钱，借句流行语“地球不允许有这么牛逼的飙车党存在”。剧本系列最差，范迪塞尔直男癌人设和演员本人一样令人作呕。速激系列已经从街头的、亚文化飙车族电影演变成国际化的、动辄特工拯救世界的A级大片，丢失了灵魂
467$26260853$速度与激情8$打气筒豆儿$2017-04-16 09:00:54$1$这种类型的看的不多，一颗心随着砰砰砰，咚咚咚一路悬到了最后，杰森斯坦森硬汉的形象生动起来了。
468$26260853$速度与激情8$TINTIN$2017-05-01 17:58:41$1$黑化男主的理由太夸张，不过看在把动作片拍成灾难片就不要计较了…尤其是看的4D版更是休想睡着。只是如果害死过Han的杰森斯坦森都可以组队，那下集让塞隆加入也没问题吧。
469$26260853$速度与激情8$头就这么疼星人$2017-04-16 18:52:10$1$非常合格的肾上腺素娱乐片。一千辆僵尸车拍出了trackmania感觉。
470$26260853$速度与激情8$安小姐行色日记$2017-04-23 00:31:11$1$主角死后果然制作没有信心，靠砸大价钱，查理兹的脸怎么了好怕
471$26260853$速度与激情8$小溪笑嘻嘻$2017-04-17 17:49:23$1$睡着了两次（合共半小时），出去上厕所十分钟，玩手机玩了一路……啊 我怎么也变成了这种观众
472$26260853$速度与激情8$小明和王猫$2017-04-22 10:12:54$2$见过装逼的，没见过装逼装成这样的...
473$26260853$速度与激情8$风舞狂澜$2017-04-24 08:23:07$0$整個場景拍得很漂亮壯觀，在電影院里很有視覺效果
474$26260853$速度与激情8$frontboy$2017-04-18 22:46:13$1$剧情不重要，关键看画面，简单粗暴没商量，枪林弹雨的情况下，同志们居然连擦破皮都没有，有点太看不起想琢磨剧本的粉丝们了，言归正传，主角们虽是大块头，不过真的都老了，结尾还在留梗续集伏笔，看来虽然投入大，但是还是赚的多。
475$26260853$速度与激情8$狷介有乌青$2017-04-15 14:20:28$0$【2017.47】监狱暴动和僵尸车队帅爆，塞隆女神不能更美了！
476$26260853$速度与激情8$西决$2017-06-21 00:42:07$1$各种膨胀的爆米花，实在欣赏无力了，感谢郭达斯坦森和塞隆女王
477$26260853$速度与激情8$Mia$2017-04-17 00:21:31$0$8比7好看太多
478$26260853$速度与激情8$承一诺守一生$2017-04-12 21:29:39$15$很爽很炫很酷啥你说剧情那是什么东西？
479$26260853$速度与激情8$傻豆$2017-04-24 08:02:05$1$我看睡着了在影院。许是太热了。
480$26260853$速度与激情8$梁眼看电影$2017-04-15 00:18:32$1$节奏明快地快要和变形金刚肩并肩了，反正这种电影看的就是一个爽吧。僵尸车和结尾冰上高潮的戏是亮点，不过还是很怀念小温同学的风格啊。还有，郭达老师假死欺骗我感情啊啊啊啊！
481$26260853$速度与激情8$申由己$2017-07-01 14:18:02$0$这是弱智版007，这个系列该结束了
482$26260853$速度与激情8$支离疏$2017-05-16 13:38:02$4$怎么讲，这种电影，值得看，不值得说。
483$26260853$速度与激情8$章鱼酥$2017-04-15 15:32:50$1$0.霹雳吧啦 1.剧情，无脑到懒得评论，竟然把前妻直接杀了，真儿真儿的道具一样 2.特效，白瞎了3d，简直噱头，没有一处出彩的地方，本来潜艇那么好的3d题材 也没好好搞 3.不用心 多少钱都白费
484$26260853$速度与激情8$况骚年$2017-04-16 08:52:46$1$喜当妈，好莱坞产的抗日神剧
485$26260853$速度与激情8$Carf$2017-04-16 11:44:26$0$一眨眼，喜当爹
486$26260853$速度与激情8$Superhat$2017-05-03 15:57:58$0$我擦没想到可以看！反恐成为你们这些大片一致主题，也是时代在召唤。飞车飞到不现实，海陆空都挡不住，这倒是一贯水平。卖关子卖得很好，英国郭达和巨石强森的对手戏太基，真让人欲罢不能。一堆壮汉猛女最后又来强调家人，麻的，乱感动的是怎么回事。三星半。以后以前的都不再看了。
487$26260853$速度与激情8$安蓝·怪伯爵𓆝𓆟𓆜$2017-04-16 16:49:13$0$come on！don't be so mean！杰秃Brian卖萌双人组超惊喜！没必要觉得deckard硬加入，当初对立也都是为了自己的family呀！不记得病房里的话吗，老哥又要给你擦屁股去啦！高兴的是老早的family mumber都出现啦棒棒哒！塞隆女王小打盹酝酿下次宇宙大爆炸！ps，偷天换日导演水准没降！@中影星美杜比厅超赞
488$26260853$速度与激情8$6079$2017-08-02 13:32:13$0$爽翻，至少里面没有中国人。
489$26260853$速度与激情8$岁月无痕$2017-04-24 15:29:18$0$典型的爆米花电影
490$26260853$速度与激情8$青山$2017-04-17 12:01:38$1$振动椅rocks
491$26260853$速度与激情8$红藕香残玉簟秋$2017-04-14 09:34:27$3$主角现在都是光头，很怀疑他们这个群体是只有光头才能加入吗。之前神奇女侠挂的太梦幻，最喜欢的韩也就比她多活了一季，保罗也不在了，感觉好伤感
492$26260853$速度与激情8$鸟鸟弗斯$2017-05-21 06:19:45$0$巨石强森可以说是ua非常敬业的代言人了，全篇看下来，1. 大概觉得韩正在地底下捶棺材板：我他妈的到底招谁惹谁了。。。2. Elena最敬业备胎。。。
493$26260853$速度与激情8$走丢的stitch$2017-04-14 11:00:34$4$其实第七部完结就很好。我就是想不通为啥那个女警察还能在第六第七部抽了个时间给dom生了个孩子。
494$26260853$速度与激情8$honseonmaan$2017-04-14 05:29:43$1$就知道我老公不會死的！！！TAT
495$26260853$速度与激情8$查理不开朗$2023-04-15 22:24:16$0$跟我老公兩人雙雙看到睡著⋯
496$26260853$速度与激情8$唐小万$2017-04-14 23:57:32$0$感觉是（我看过的）系列最佳。不过看的是2D观感会好很多吧。
497$26260853$速度与激情8$风与风的缝隙$2017-04-21 18:18:02$0$170421/国金百丽宫2号厅F排/9元北京银行活动；屏幕偏小，座椅舒适间隙大，亮度尚可但3D效果不佳，D或E排最合适；剧情弱智，男主装，除杰森斯坦森的打戏还有一定水准之外，唯一留下印象的就是那位吵着要lambo的黑人说天气太冷，身上的某个部位变小了，自己都不认识了😂
498$26260853$速度与激情8$布拉德痞特儿$2017-05-22 15:07:31$0$即便集合了好莱坞三大硬汉和塞隆女王，也掩盖不了烂片的事实。飙过飞机，飙过坦克，现在又飙潜艇了，下部要飙火箭吗...
499$26260853$速度与激情8$变形的文科生$2017-04-17 19:09:33$1$这个系列老子就是爱看，你管得着嘛你
500$26260853$速度与激情8$妖怪dodo$2017-04-15 21:53:42$0$在影院看可以打四星哦。如果在家看就不一定是二星还是三星了。for Brain 我给四星。
501$26260853$速度与激情8$逍遥隐月$2017-06-15 00:21:11$0$每当看到男主日天日地日飞机的时候，谁还记得第一部还是个修车小哥。
502$26260853$速度与激情8$Mr.杨$2017-06-09 01:31:15$0$杰森斯坦森他妈的莫名其妙的被洗白了，无论如何我不能接受这个设定。韩白死了吗？
503$26260853$速度与激情8$湖边の许愿树$2017-04-19 16:54:46$0$在国产烂片的衬托下，虽然确实动作戏不掺水分不把观众当智障，广告植入也不到卖拷贝那么无耻，但确实希望别拍续集了。这种变态的从上游广告到下游周边的吸金能力，不说断绝，起码耽误了多少其他阔能性啊。就像HBO舒服地躺在GOT上之后，就再也没拍出wire这样的绝世神剧了。2017.04.17@773影立方 IMAX3D
504$26260853$速度与激情8$辄馨$2017-04-16 19:17:47$3$郭达抱阿斗 大战长坂坡
505$26260853$速度与激情8$不懂相负$2017-04-29 21:04:09$1$爆炸的场景是震撼的，速八比速七感觉差了那么一点。
506$26260853$速度与激情8$sea$2017-05-02 10:11:19$0$全程没有high起来。。
507$26260853$速度与激情8$V0ID0$2018-03-03 00:28:32$0$塞隆怎么没以前好看了？眼睛变小了
508$26260853$速度与激情8$Miss Lucky$2017-08-05 23:23:43$0$比七好看。燃爆。
509$26260853$速度与激情8$江声走$2017-04-15 01:25:31$0$完全无法入戏，在剧情最紧张的时候频频笑场....
510$26260853$速度与激情8$易$2017-05-15 10:12:08$0$这影片说的啥？我已经忘记了。
511$26260853$速度与激情8$斑陀螺$2017-04-17 01:15:02$2$"载具战都挺有想象力的，场面火爆而不混乱，可以迈入mecha porn殿堂，感觉下集的high度要想更高只能驾驶变形金刚了。
巨石的战斗力简直是漫画英雄的等级……杰森的格斗和枪战设计恢复到5代水准，观赏性远超7代的王八拳。
话说4代韩被杰森杀了的事儿就这么算了么 囧"
512$26260853$速度与激情8$宅拾叁$2017-04-15 18:55:38$1$哎呀，还在最激情的时候睡了两三分钟，就是冰上那段，飞机坦克潜水艇，海陆空这下齐了，下部该上太空了。翻译真霉粉，第八集毁的车连起来可以绕马尔代夫三圈。
513$26260853$速度与激情8$狂抽猛送三千下$2017-06-21 19:12:35$0$挺好的，36块一顿大份排骨米饭的钱自己包了个场，想起冯小刚那句话，做什么也不做电影，周末电影院一个人也没有哈哈哈
514$26260853$速度与激情8$阿暖$2017-04-14 22:23:08$1$深深地被耿直苦瓜脸的杰森斯坦森吸引！！！除此之外，这部电影可以说是非常cult也非常黄晓明了。
515$26260853$速度与激情8$(๑⁼̴̀д⁼̴́๑)$2017-04-24 00:19:28$1$"没有看过前几部
心血来潮去看了速8
这一趟还是很值得
电影有很多闪光点
女主喊出:I know you love me,you won't shut me.
差点哭出来，这个女人真是太帅了"
516$26260853$速度与激情8$wang_15th$2017-04-20 19:02:53$1$很明显的三个场面支撑，幽灵车，汽车版五马分尸，核潜艇。到了第八部，场面还能推陈出新，就不强求剧情了。很像宝贝计划，范迪塞尔挤眼泪的时候真的很努力。
517$26260853$速度与激情8$雨二厶$2017-11-09 10:10:34$0$车迷电影
518$26260853$速度与激情8$一实$2017-04-17 10:20:34$0$就是一个爆米花电影，翻车出来继续帅是否合理什么的根本不是这部片应该讨论的方向。这种都是看的时候爽，看完就不记得了的“速食”片
519$26260853$速度与激情8$樱桃之远$2017-07-08 20:41:58$0$和柯南差不多。
520$26260853$速度与激情8$最爱百年孤独$2017-09-12 21:14:48$0$审美疲劳。
521$26260853$速度与激情8$淋$2017-04-15 10:48:04$1$伪君子唐老大，狗屁一般的“家庭”口号！吉赛尔和韩死不瞑目！
522$26260853$速度与激情8$曼特宁$2017-04-26 20:57:46$0$机械暴力美学
523$26260853$速度与激情8$江边一只鸟$2017-04-16 22:52:37$1$我就想说一句，全上海的电影院这周末只排了这一个片子是吧？！
524$26260853$速度与激情8$PEEEEE$2017-04-18 11:57:22$0$04.18
525$26260853$速度与激情8$无事公$2019-08-31 15:27:52$0$https://movie.douban.com/review/10452599/
526$26260853$速度与激情8$pksky$2017-07-14 22:07:30$0$auto-drive那段和结尾冰面飙车群戏，下一部只能跟变形金刚跨界了…塞隆依旧美艳，BB够萌，Jason带感…
527$26260853$速度与激情8$hermaphrodite$2017-04-16 00:00:12$0$"不得不承认，这种毫无剧情和演技的电影，竟然让我看得津津有味，打个3星真是必须的。查理兹塞隆面部应该没少整，法令纹，眼袋，泪沟，都整得不错。唯一喜欢的一句台词——”No. 11 my ass!"""
528$26260853$速度与激情8$南水北星$2017-04-30 16:24:12$1$4月22日，结婚后和他一起看的第一场电影
529$26260853$速度与激情8$ly330$2017-04-24 11:32:38$1$范迪塞尔： 嘻嘻 我想给你个原谅帽
530$26260853$速度与激情8$拝啓、あなたへ$2017-04-24 04:02:00$0$小伙伴特意买了杜比全景厅...我就在那个宽大舒服摇摇晃晃的沙发上睡了半集。。电影啊...看了开头，看了飙车，看了结局，其他不知道了。。
531$26260853$速度与激情8$Hildy at beach$2017-04-18 22:03:12$0$"
速度与激情八:真是没有做不到的，只有想不到的，继续拍续集~


"
532$26260853$速度与激情8$憨大仁$2017-04-24 23:45:40$0$照这个势头下一部估计要拍fast and star war了
533$26260853$速度与激情8$pipboy$2017-04-14 04:08:13$2$公映IMAX3D。古巴街头赛车，纽约僵尸车疯狂坠落，冰上大战潜艇
534$26260853$速度与激情8$魏晓波$2017-08-06 00:49:08$0$肌肉男大战键盘侠
535$26260853$速度与激情8$猫苦艾。$2017-05-29 16:23:51$0$这群人就差开火箭了吧。
536$26260853$速度与激情8$猫不然$2017-05-07 02:07:25$2$能感觉出导演和编剧们经过了非常缜密的分析和揣度观众想看什么，太准确了以至于完全没有惊喜。而孩子的亲妈存在的一小段真是谜之尴尬，但最尴尬的还是塞弗完全“没有这个必要”的一吻… 回想起来老大问她你真的没这个必要好像是说给导演的哈哈哈哈。
537$26260853$速度与激情8$会花光的金子$2017-04-13 01:57:31$8$说没爽到是假的，动作戏简直丧心病狂，斯坦森屌炸天，剧情方面我只能说在不断透支从5以来的口碑，强行洗白了6和7的反派毫无逻辑可言
538$26260853$速度与激情8$dblddx$2017-08-09 23:10:04$0$一般吧
539$26260853$速度与激情8$安獭獭$2017-05-01 12:54:25$0$剧本角度讲B升级到A的可能性离不开每个人都刻画的够用心，当然车也是最重要的人物之一。
540$26260853$速度与激情8$颜落寒$2017-04-15 04:43:20$2$上天入地无所不能，这次都开着车灭了核潜艇，范迪塞尔肯定觉得自己牛逼死了。
541$26260853$速度与激情8$糖仙贝$2017-04-21 19:41:28$0$走出电影院我跟我弟弟说 每次我走出ff的首映场都会说这是我最后一次进电影院看超前首映了 然而每次ff上映前一个礼拜我还是会群发信息给小伙伴问他们要不要去看首映 可能这就是爱 说也说不清楚。╮(╯▽╰)╭ at events ct. AKL
542$26260853$速度与激情8$LF$2017-04-16 00:02:21$1$其实还蛮爽的。不要把那些当成车，当成高达就很好理解了。好多权力的游戏的演员
543$26260853$速度与激情8$柚子笙$2017-04-12 10:12:53$17$在我心里，速激7和保罗一样已经是完结了。
544$26260853$速度与激情8$C  i  g  m  a$2017-04-14 02:15:09$4$看完了，爽过了，也就没了。怀念前几部单纯的飙车，没有蓝色调的高科技设备，没有世界和平这种假大空的目标，没有过于强烈的主角光环，没有杂七杂八的东西。作为一名速激系列老粉，心里五味杂陈。其实我们不想要的无休止的爆炸，只想要最初一家人在洛城街头为了爱而飙车的简单故事。 farewell
545$26260853$速度与激情8$Page_Chen$2017-04-17 11:31:31$0$除了速度与激情，还有温情、有悬念、有思考，就是儿子来的有些狗血
546$26260853$速度与激情8$/\ 隱廂。$2017-04-22 23:05:46$1$塞隆好美啊
547$26260853$速度与激情8$random night$2017-04-16 08:43:27$3$看完这部电影突然get到塞隆的美点。最后竟然有点不希望主角赢。没看过1-7的人表示很喜欢美式肌肉车。
548$26260853$速度与激情8$终有剑心在$2017-05-13 07:25:00$0$一贯的简单粗暴，这特效也是没谁了，虽然剧情夸张了点。
549$26260853$速度与激情8$林建昊$2023-04-21 16:47:32$0$垃圾玩意
550$26260853$速度与激情8$刃$2017-05-29 18:39:21$0$黑进自动驾驶系统那段好惊悚。。。以后无人驾驶还要不要搞啦！锤嫂就这么死了？郭达都还活着哪！这太不公平了！
551$26260853$速度与激情8$Monsieur W.$2017-04-16 18:23:06$0$郭达·斯坦森开着f-type 还不错
552$26260853$速度与激情8$凯丽要一夜暴富$2017-04-25 17:52:53$0$开车去炸潜艇。。。。。
553$26260853$速度与激情8$Joy$2017-04-28 17:09:11$0$感觉疲劳了，剧情线太单薄
554$26260853$速度与激情8$wise$2017-04-29 22:36:14$0$经费在燃烧，除了场面也没什么可看的了
