$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35372742$无名$比目鱼很好$2023-03-05 18:14:08$2$程耳导演真的用心了，从头到尾明明有这么多可以会心一笑的点
2339$35372742$无名$阿V$2023-04-11 12:53:06$0$"洋泾浜上海话真的难受=""="
2340$35372742$无名$雲家雪雪$2023-01-22 11:45:43$271$推荐～好看的～无名很程耳又不程耳～值得二刷～是我喜欢的悬疑烧脑剧～势均力敌～带感～值回票价～欠耳的电影票等我二刷再还～无名自己绝对值得一张电影票！
2341$35372742$无名$那些鱼怎么办$2023-04-10 09:09:26$0$程耳的风格在消亡，变得俗气了，6.5
2342$35372742$无名$192$2023-01-22 13:05:09$215$想去看，来看看评价怎么样，结果发现热评都在攻击其中一个演员，现在的豆瓣已经这样了吗？我就要去看，就打五星
2343$35372742$无名$洛羽$2023-04-11 16:51:47$0$用魂系的叙事手法讲了一个简单的故事
2344$35372742$无名$TVSICK$2023-01-22 11:28:37$44$看完了，赶了个早场，非常不错的片子，值回票价了
2345$35372742$无名$Zhihao$2023-02-17 14:01:48$5$看罗曼蒂克消亡史就像把自己的眼睛抠出来，这部片子一样。
2346$35372742$无名$flora$2023-01-22 12:12:56$167$披着程耳外衣的商业烂片！！！
2347$35372742$无名$日不落的热气球$2023-01-22 11:43:24$411$因为梁朝伟和周迅去看的……但梁朝伟和周迅也救不了烂片………影片剪的稀碎，连最基本的故事都讲不好，还有王一博………不会演真的不要硬当演员好吗！本来电影就够难看了，王一博一出来就我就忍不住内心那想破口而出的问候！那脸且先不论好看与否就整一个木的！眼神木的脸是木的………这么一张脸是怎么可以演电影的？真是大喊救命。已经不记得多久没看过这么难看的电影被这么可怕的演员一整个整到无语。真的难看！难看到一整个坏心情！
2348$35372742$无名$蔡姑娘_$2023-02-26 23:08:16$1$09 三星半 《无名》其实蛮不适合春节档的，是那种前面需要抽丝剥茧，到最后结局才能恍然大悟的类型，对比起来还是更喜欢罗曼蒂克。
2349$35372742$无名$瑞瑞是一只🐰$2023-02-04 16:29:31$3$最后的反转 有点生硬子
2350$35372742$无名$卖女孩的小火柴$2023-01-22 11:38:41$156$。。。我不该带家人去看这部的，剧情很无聊，看到一半我爸就睡着了，后边还有带小孩来看的也是没看完就走了，有的场面太不适合小孩子了，总结就是过年真的不要看这种。。。
2351$35372742$无名$lily666$2023-01-22 11:49:46$26$别的不多说，就是好看的电影不多，无名就是好看的电影！推荐大家一起去看看👍🏻
2352$35372742$无名$林下风致—$2023-04-08 13:06:35$4$是真难看
2353$35372742$无名$甘草杏$2023-01-22 11:30:33$195$博纳出品。复杂的剪辑时间线，观看门槛挺高的，不适合春节档，旁边的大爷看一半就开始玩手机了。形式大于内容，有点好看又有点难看，乏善可陈一眼看到头的故事，空洞的人物塑造和情感，看了又好像没看，靠画面和光影出彩，很多隐喻，声音转场玩的不错。
2354$35372742$无名$微信用户$2023-01-22 11:40:43$120$剧情精彩值得观看，陈耳导演美学yyds，值得二刷好电影
2355$35372742$无名$氓流浩二$2023-04-15 23:54:54$0$部分台词有抹黑国民党之嫌，大可不必
2356$35372742$无名$心扉的信$2023-01-22 12:24:56$101$绝对绝对值回票价！画面在电影院看太爽了，后半段是屏气静神的看完的，生怕错过细节，导演很会拍人物啊！梁生、讯姐、日本军官、叶先生，江疏影出场不多但很美，叶先生好疯批好喜欢！真的都去电影吧，去享受一个好故事！
2357$35372742$无名$皮皮皮皮皮卡丘$2023-01-22 12:17:38$19$意犹未尽。怕剧透买的早场，大过年的早起真的太困了。等影院有好时间段的时候会去二刷，不知道能不能蹲到IMAX的
2358$35372742$无名$汤圆什么馅-$2023-01-22 14:19:20$117$剪辑挺混乱的…后半段稍好些，全片最好的地方应该是打戏部分
2359$35372742$无名$Sunsplanter$2023-04-17 19:00:23$0$看第二遍加上一些解读,感觉起码有调理了,但整体而言剧本还是太单薄,只是反复在欣赏画面构图.最后的反转并动人,有一种急促,为了反转而反转的感觉,王虽然并不好,但也并没有那么差,倒是张确实很差
2360$35372742$无名$一颗跳跳糖$2023-01-22 13:59:55$70$程耳真的可以封神了，希望多一些这样的导演。无名值得二刷！
2361$35372742$无名$不停干饭$2023-01-23 05:39:41$685$程耳值得
2362$35372742$无名$kjyhkzh$2023-03-15 20:11:20$2$拍谍战片，除了两个深情的好男人一无所有，两满脸写着我是gcd三个女性角色 全在衬托两个男主深情
2363$35372742$无名$名字吗丁啉$2023-01-22 11:49:53$31$刚出来！还沉浸在电影里！真的非常有质感！不用担心看不懂！想看的冲就行了！
2364$35372742$无名$亲切的昊子$2023-01-22 12:35:20$1387$依然延续了程耳的艺术美学和逼格腔调，故事犹如一块块叙事拼图，每一块单拿出来都是暗藏玄机细节满满，非常适合二刷，一众演员都维持高水准，连初登大荧幕的王一博也丝毫不拖后提，华语导演真的永远可以期待程耳。
2365$35372742$无名$朝暾夕月落涯惊$2023-04-17 20:52:21$1$还可以啊，梁朝伟还是那么帅，王一博也不错。那群无名英雄潜伏在危险之处，走出黑暗，迎接光明。
2366$35372742$无名$霏霏$2023-01-22 11:31:54$99$一部电影能做到这么无聊也是厉害，看得我昏昏欲睡，还没到一半都有人走了......
2367$35372742$无名$大猪蹄子小蛮腰$2023-04-14 08:48:45$1$我觉得电影的魅力剪辑要占一大功。2个小时讲一个故事，引人入胜的感觉。越到后面越过瘾。
2368$35372742$无名$CC$2023-04-15 19:59:43$0$不明白为什么要用这样的叙事方式
2369$35372742$无名$Salome°$2023-01-22 14:10:53$223$很好看  不知道该怎么说  反正就是好看  王一博有惊艳到我  梁朝伟周迅就更不用说了
2370$35372742$无名$这可得说点啥了$2023-01-22 11:41:00$1880$群里送票看的，贪便宜大过年又没什么事就带着弟弟去看了，怎么说呢，大过年的，昏暗的画面，听不清的方言，故弄玄虚的剧情，真是煎熬，拍的有逻辑的部分竟然是小日本杀人，过年还是看点阳间的吧
2371$35372742$无名$晴天$2023-02-02 02:47:30$17$整体来说是一部挺有质感的电影，配乐、画面都很不错，导演个人风格非常明显，影片中倒叙插叙非常多。梁朝伟周迅演技真的很绝，王一博演的比我想象的好，影片后半段和梁朝伟的对手戏感觉也不让人出戏，最让人出戏的反而是黄磊，黄磊一出现就感觉他要去做饭了。
2372$35372742$无名$CC$2023-01-22 13:34:32$310$宣传说是商业片我以为程耳改了，结果还是故作玄虚的风格，不肯好好讲一个故事，以前有演技好的演员撑着，还能吹个人风格片，这部电影高光都放一个毫无演技表达不了情绪的王一博身上，彻底成了烂片。拍电影给观众喂SHI还要从观众口袋掏钱，你们捧自己人拍拍电视剧差不多了，别太过分。
2373$35372742$无名$微信用户$2023-01-22 11:55:16$123$"这样的电影才是电影！！！每个镜头都特别有它该有的存在！打戏真的是惊心动魄！不得不说全员演员都牛逼😭😭😭我到现在都还没出戏！值得三刷以上！！还有还有地表最强摄影机把人物皮肤的机理和光影完美融合！简直不要太牛！"
2374$35372742$无名$竹喧$2023-03-08 01:14:56$1$"为导演的镜头语言打高分，剪辑令人抓心挠肺，太跌宕起伏。不带点脑子看连不起来。如果不是三十六线小镇没排片，肯定不会看这部。                                                                  3.7和ZL"
2375$35372742$无名$Mukkokakaka$2023-04-16 18:17:17$0$和我弟去看的 梁朝伟也拯救不了的稀烂剧情
2376$35372742$无名$谷雨$2023-03-15 00:30:02$1$除了节奏太慢，其他都还好。
2377$35372742$无名$吃瓜也要看颜值$2023-01-22 11:34:20$229$好家伙，说组织去看无名，其实我真的不想去，初一我都有事，要团年的，说，电影票不要钱，还送爆米花。就在微博发帖，说好看就行，我昨天才下载了微博。
2378$35372742$无名$白竹$2023-04-18 21:57:17$0$构图还可以。梁朝伟和周迅演技没得说，江疏影比在扫黑风暴里演得好。王一博真的后半段戏份太多演得也差还难看，和王传君同框演技差距有点大。剧情bug太多，不如《悬崖之上》，虽然后者也有bug。
2379$35372742$无名$问问922$2023-01-22 11:58:27$128$买了早九点的票  第一时间看完了 拒绝不了谍战片，打戏精彩，结尾反转惊喜，老演员和年轻演员对戏看着太爽了
2380$35372742$无名$豆友Zsdz-xCmig$2023-01-22 13:04:41$225$看了，两个字退钱
2381$35372742$无名$不学无术$2023-04-10 13:11:19$0$剪得太碎了 剧情也太简单
2382$35372742$无名$小兔子乖乖$2023-02-10 16:14:57$3$"这个片子出之前，《风声》是我最爱的国产谍战电影，《无名》全方位碾压《风声》。四字后又看到第二个能演电影的流量，程耳调教的王一博不逊于《少年的你》里的易烊千玺。"
2383$35372742$无名$大居居$2023-03-18 18:31:43$0$还是能够跟着看看，不过台词写得太差了。而且这个主旋律得太猛了点，就是都太不合理了。缺意思了。
2384$35372742$无名$哦呀斯密33$2023-02-08 16:38:27$6$朋友说拍摄手法很特殊，但是有点无聊。
2385$35372742$无名$懵懵的豆苗$2023-01-22 11:53:13$510$太难看，以后别拍了。
2386$35372742$无名$海德薇$2023-04-15 21:43:28$0$真心觉得不是烂片 程耳的风格是真的舒服
2387$35372742$无名$赤豆糕$2023-01-22 13:33:13$134$陪我妈来看梁朝伟，结果他才出来了多长时间，简直挂羊头卖狗肉。这就算了，台词尴尬无聊，剧情稀碎不知所云，一上来就让人看日本人屠杀中国人，画面要多阴间又多阴间，我妈这种看啥都好看的看完都一言不发，真是造孽大过年的来看这种电影。过年还是看喜剧片的好。
2388$35372742$无名$笑看潮起潮落$2023-01-22 14:01:45$82$太精彩了！难得一见的优质影片！程耳导演真的牛，每一帧镜头每一个音效都赞👍。真的不想错过每一分钟，每一个人物每一个场景甚至小动物都有意义，导演真的太牛了！演员们演技超棒！王一博演的真好，不能剧透，只能啊啊啊啊啊啊了！真的看得我热血沸腾，激情澎湃，电影结束了观众都不舍得离场，直到片尾曲结束才意犹未尽的离开，准备再去看IMAX，《无名》真的是高质量高水准的电影作品！
2389$35372742$无名$我思故我在$2023-04-16 22:40:33$0$故作深沉，剧情稀碎
2390$35372742$无名$胡胡胡冠希$2023-02-27 10:37:12$1$王一博——桌面清理大师，用抱头的动作表达自己痛苦的情绪。梁朝伟，周迅姐，王传君，程导演。你们怎么能不笑出来的啊？但是u1s1王一博的两场打戏的确弄的不错。让我惊讶的是，大鹏居然还挺有那味儿，演挺好的。
2391$35372742$无名$柳龙飞舞$2023-04-24 07:47:53$0$装X失败，加选角失败。
2392$35372742$无名$ludayuanchishi$2023-01-22 13:14:21$382$难看，大年初一为什么遭这个罪来看这个，浪费时间浪费钱
2393$35372742$无名$有点儿冷$2023-01-22 13:07:20$67$看完只想说，这拍的是神马玩意儿！我就问你谍战片，主线故事是啥？没有核心故事作为骨架，其他不都在空中楼阁么？突兀地重复镜头，串起故事，简直乱七八糟！理解这电影的卖点为啥梁朝伟和周迅了！因为除了他俩，啥也不是！
2394$35372742$无名$白河夜船$2023-02-15 16:00:12$4$一个如此苍白简单的故事非得拍的故弄玄虚，张婧仪和王一博把我演笑了，梁朝伟也不够松弛
2395$35372742$无名$小朱和小熊$2023-01-22 11:16:00$90$程耳导演是人不在江湖，但江湖都是他的传说，这次我是想验证一下，是不是传说中的那样，看过之后，只有一个字:服！会二刷
2396$35372742$无名$忧郁已黯然死去$2023-01-24 20:58:00$545$稀碎的剧本，刻意装的配乐，装都装不像的演技。
2397$35372742$无名$罗荒野$2023-01-26 02:30:16$45$虽然最后的打戏加的莫名其妙且不合逻辑，但至少程耳证明即使拍动作戏他也能轻松拿捏。
2398$35372742$无名$Neo$2023-04-10 04:54:35$0$镜头画面运用得不错，服化道不错。故意把情节顺序打乱。反转再反转。文艺范。7.5分吧。
2399$35372742$无名$mumu$2023-01-22 12:15:09$399$冲着梁朝伟和周迅去的，周迅的戏份好少，提前退场了，新年第一天真后悔选了这个不知所云的片子！影帝影后们多珍惜羽毛，不要消耗影迷们的热情…
2400$35372742$无名$喵咪✨$2023-03-18 11:28:52$0$三星中，两星给梁朝伟一星给周迅，话说周公子为什么要演配角啊，连名字都没放在演员表前列
2401$35372742$无名$快乐_就要快乐_$2023-04-19 00:28:08$0$日军暴行惨绝人寰，绝不能忘，警钟长鸣结尾的打戏还行，但剪辑叙述的方法并没有让本就不复杂的故事情节更丰富和深刻
2402$35372742$无名$胖子瘦子上岸$2023-01-22 11:52:39$270$一星都多了吧，撇开演的不行，剧情更是乱七八糟
2403$35372742$无名$许小竹1992$2023-02-01 21:23:00$35$浪费演员的烂本子和烂叙事方式，比预期的还差
2404$35372742$无名$锅包肉的锅$2023-02-13 17:42:16$2$感觉一般吧，有点谍战又有点文艺，剧情线太折叠了，观感没有特别好
2405$35372742$无名$不妥-$2023-02-01 06:57:03$18$说实话我确实觉得还不错
2406$35372742$无名$plamaple$2023-01-22 11:44:14$331$程耳的电影真的没啥好说的！太精彩了
2407$35372742$无名$焦佐伊$2023-02-26 23:05:31$0$还是一流的镜头语言，非线性叙事给简单的故事增添不少效果，就是不太适合奔着春节档的观众
2408$35372742$无名$目目夕$2023-01-22 13:45:39$660$1.梁朝伟前期片段让我觉得像易先生，有点出戏2.因为像易先生所以和女演员感情线让我觉得不搭3.中间打戏爽！
2409$35372742$无名$Alex Lan$2023-02-20 12:28:00$2$三星给摄影服化道。全片没有什么打动我的点。wyb真的不适合大荧幕。
2410$35372742$无名$两条线$2023-01-22 13:42:07$296$无语
2411$35372742$无名$Poor Alan$2023-04-15 17:15:24$1$叮铃铃电话声，这是程耳导演的美国往事
2412$35372742$无名$Ojbk$2023-01-22 13:19:49$94$。。。。什么钱都赚只会害了你们啊
2413$35372742$无名$毛豆年糕$2023-03-18 19:09:20$0$王一博在里面的角色设定很容易圈粉啊，导演拿捏了广大少女的小心思，哈哈哈哈，能让大咖作配也是🐮，他演技要能再好些就更好了。
2414$35372742$无名$方聿南$2023-01-22 16:55:26$5$《无名》的谍战戏里全员高阶谋略玩家，人人衣装工整喜怒不兴，句句出口都藏着潜台词，在这精致的黑暗旋涡里，连大鹏这样常逗人乐的笑咖，也戏路大拐弯，整肃好表情，释放起寒意森森，在残酷的智谋游戏里显手段。出场时还不觉得此人段位如何，随着阴谋算计一步步显露，只见大鹏厚厚的眼镜片后面，那若有若无的似笑非笑，让人不寒而栗，鹰隼一样的目光时而可以杀人。某个时机他将计划娓娓摊牌道来，尽显情义寡漠和老奸巨猾，让人难以与银幕上常见的那个憨笑搞怪的大鹏联想到一起。大鹏的表演与整个电影中危机四伏、人命如草芥的肃杀气氛，颇为相得益彰。出道以来大鹏多次以转型给人惊喜，而此番表演，无疑再度令人刮目相看。
2415$35372742$无名$夭夭$2023-01-22 12:43:19$24$。。。大过年的。。画面阴暗。。
2416$35372742$无名$陈邑人$2023-04-10 00:28:10$1$其实还好，挺喜欢这种氛围的，但。为啥请王一博呢，让本就不出彩的故事更加逊色。
2417$35372742$无名$心心相晰$2023-01-22 13:11:32$828$大年初一有很多选择，但是矿工割喉什么真的生理不适，2星算是谢谢票补，虽然你不给我能节约100%
2418$35372742$无名$豆友226436794$2023-01-22 11:45:53$128$剧情烂，演技烂，梁朝伟现在演的片子都不咋地了，果然还是老了
2419$35372742$无名$杨门小宅女$2023-01-22 11:41:30$268$看了好后悔，看的心情好压抑，剧情也好乱
2420$35372742$无名$浮生半日$2023-02-11 16:07:55$1$剪辑实在是有些故弄玄虚，整个故事有很多小细节，但是大的逻辑框架太弱。其实感觉一博确实有很努力的在演了…最喜欢的是黄磊老师那句：我是个软弱的人，适应不了时代的巨变。人啊，在命运面前，还是只能低下软弱的头啊。
2421$35372742$无名$violin$2023-04-21 21:20:03$0$没有老师傅解读，我看不懂
2422$35372742$无名$米米$2023-01-22 11:40:50$81$不愧是程耳导演，牛大了。值得
2423$35372742$无名$aw_$2023-02-14 20:57:46$6$我愿称之为春节档最佳。真的很喜欢这种恍然大悟的感觉。真的很喜欢把剪的七零八碎的时间线拼在一起的方式。好喜欢好喜欢。周迅梁朝伟我说你俩别太配了我靠。真的很喜欢芜湖。虽然感觉跟满江红有通病，但还是比满江红强点。好喜欢我靠。好喜欢。接下来打算把罗曼蒂克消亡史补上。开心开心极了。
2424$35372742$无名$Kevin$2023-04-21 21:38:47$0$至少有一件事能够确定，就是剪辑特喵的嗑药嗑大了。冲突不够剪辑来凑是吧？稀碎、不知所谓、不断重复的镜头，你说你拍个电影水什么时长啊？又不是上星电视剧能多卖点钱，一个蒸排骨出现两三次，咋的排骨里夹着机要电报啊？wyb吃虾还要给个长镜连吃三四只，有他喵什么意义啊？是凸显了人物性格，还是推进了剧情发展？画面、布景再优秀，也得为人物和剧情服务。还有吹爆的那场打戏，打得多卖力结尾就有多疑惑。别说做戏要逼真，把人扔楼下你咋知道不会直接摔一楼去领盒饭呢？这力度这角度控制的，你别说是个人，换成台球找丁俊晖来也没十足把握吧？
2425$35372742$无名$鱼豆腐$2023-01-22 11:48:29$77$无名我惊讶了，牛🐮，是主旋律，但却是从未见过的质感，程耳强，梁朝伟稳，王一博也完全没问题，值得二刷三刷！！！ 
2426$35372742$无名$Corgi精$2023-02-05 19:38:36$5$质感和想象的一样好，演员表现超出预期，但故事情节令人失望
2427$35372742$无名$哆啦大丸子$2023-04-15 19:59:15$0$一个本应该很出彩的故事，被剪辑弄的稀碎。看时一脸懵逼。一个电影过半还无法让人入戏，那就是故事有问题或剪辑太垃圾。想要的高潮迭起没有，那就好好按顺序讲明白个故事不好吗？
2428$35372742$无名$豆木木$2023-01-22 12:32:55$158$一部值得去二刷的片子
2429$35372742$无名$dandande$2023-02-17 15:28:42$4$7.5剧情很紧凑，全员演技在线，不过让伟仔说普通话确实会让注意力在说话上，无名的英文居然是隐藏锋芒，没想到又意外合适。
2430$35372742$无名$pq$2023-04-17 21:25:44$0$除了音乐之外都还挺好的，剪辑节奏很顺畅，微言大义的感觉。
2431$35372742$无名$路人甲$2023-04-20 20:39:31$0$鸡蛋炒柿子做的再精致它还是鸡蛋炒柿子
2432$35372742$无名$木偶$2023-04-13 09:32:02$0$信息密度很大，环形叙事很巧，历史细节很满，构图视觉极具个性，也许是一部被低估的电影
2433$35372742$无名$momo$2023-01-22 12:27:12$49$还不错
2434$35372742$无名$豆友19790118$2023-01-22 12:32:20$457$冲梁朝伟周迅去看的属实没必要，什么烂电影，剧情烂流量演技烂，浪费时间。
2435$35372742$无名$Oh拉玛干$2023-03-05 14:40:17$4$应该说是春节档里最回归电影本质的一部片子。可以看得出导演坚持自己作者性的表达却无力于资本和市场制度的要挟。影片用插叙完成悬疑这条线，以穷其境的结构美学勾勒大时代下的洪流与小人物。然而最喜欢的是程耳对于爱情和浪漫的表达，叶先生和方小姐的故事如果能展开来讲一定很精彩很好看。好想看导演个人剪辑版啊。
2436$35372742$无名$zedTTTT$2023-03-15 14:21:11$0$说实话，我相信喜欢罗曼蒂克消亡史的人肯定也对这部观感不错，流量的演技问题程导已经尽力改变了哈哈哈，这个角色确实可以冷面一点，但是跟其他表演有层次的角色对弈的时候就显得很苍白了，再就是结局可能是审查原因，太光明了不太真实，就比如周迅的结局，既然梁王二人对打是有人在看的，那她能安然无恙这是否有点，不过程耳牛的，下一部继续支持
2437$35372742$无名$鎌倉$2023-01-22 11:37:34$189$真的是非常好看！大年初一的第一部影片没有辜负我对于它的期待！梁朝伟周迅的演技真的非常到位，各位演员的处理方式也非常细节，以及程耳导演一些镜头的处理方式，真的美轮美奂。另外，王一博真的超出我意料之内，真的如同程耳导演所说“一个优秀的电影演员的诞生”。真的入股不亏这部影片！！
2438$35372742$无名$🥤🥤$2023-04-08 12:30:31$1$其实这种故弄玄虚支离破碎的叙事手法更适合用在文艺片吧……
2439$35372742$无名$豆友5ed2lM4unE$2023-01-22 11:35:26$90$精美绝伦超级精彩，准备二刷！！！
2440$35372742$无名$wei$2023-01-22 12:09:23$246$被表妹约出来看电影，浪费时间看了这部烂片。我还得请回表妹吃午餐。剧情稀烂，莫名其妙的地方很多，演技好的影帝也救不了。这个导演的作品基本可以拉黑了，不会讲故事的人
2441$35372742$无名$笨蛋哈密瓜$2023-02-09 22:39:23$2$退步了
2442$35372742$无名$Version_4$2023-04-17 01:01:02$0$节奏混乱
2443$35372742$无名$cyc$2023-01-28 02:45:01$10$春节档，作者性。这是属于程耳的勇气。但论及电影本身，不如《兰心大剧院》。
2444$35372742$无名$paroro33$2023-01-22 13:17:48$70$这不是几个人演绎的谍战片，耳是把从抗战爆发到太平洋战争结束的那段历史裁下来的一片，精心设计剪裁之后给你看。导演通过混剪的时间线，把巨变时代中不同阵营的几个角色的理想、选择、软弱、痛苦一点一点的展现出来；凌而不乱，隐而不发，最深重的情感和信仰不需要拿着大喇叭喊出来。 商业了，但没有完全商业，程耳还是程耳，国产电影需要更多这样坚守的创作者。
2445$35372742$无名$_謬$2023-01-24 09:56:24$166$真的不看到最后一刻都不知道整体结局。老演员们演技依旧在线，大鹏和王一博这次让人没有想到。看的时候越看越生气，王一博饰演的叶秘书这么帅的长相怎么如此之坏，招招都要将人ko，看到结尾才知道并不是这样子，日语说的还行哈；电影结束看了演员表才发现大鹏演的是唐部长，全程都没看出来。电影里的动物和食物重复出现，值得去影院二刷再次品味。
2446$35372742$无名$thresh1120$2023-01-22 14:15:39$211$无疑是罗曼蒂克消亡史的延续。无论是剧情，镜头语言，还是剪辑，以及人物关系，都不由让人想起来罗曼，是复刻还是呼应？只是浅野忠信更有张力，罗曼里各个人物都刻画得很棒，哪怕是戏份很少的闫妮和倪大红。也许程耳想弥补一些拍罗曼时的遗憾，所以换了个时空，场景和角度，去再拍抗战时的上海和香港。打戏很棒，程式美学依旧，俯瞰，远景，郊外，字幕，桌椅，血水，西装，日料。但是逻辑关系，感觉要弱于罗曼，就像罗曼里喂猫的一份秋刀鱼让人念念不忘杀人者的温情一面，还有倪大红的清粥小菜，袁泉的点心，而无名吃了N场饭，只有醉虾的跳动有点意思。毕赣的路边野餐是无法言说的好，但同样手法的地球最后的夜晚不忍直视。这个类比不太公平，因为罗曼实在优秀，而无名也没有很差。感谢大年初一有人请我看电影。
2447$35372742$无名$SPACETALK$2023-01-27 05:53:14$63$拍得够漂亮，但故事剧本真的太薄弱了…..
2448$35372742$无名$青沐$2023-01-22 12:54:33$223$被梁朝伟吸引去看，结果莫名其妙的剧情，真的浪费钱，烂片
2449$35372742$无名$黑白万花筒$2023-03-10 22:37:08$3$不错的，很多细节，值得二刷
2450$35372742$无名$了反读$2023-02-24 15:33:32$2$其实还不错
2451$35372742$无名$米修米修$2023-01-22 12:14:43$173$我好久没看那么爽的电影了！！真的是酣畅淋漓到最后一秒！！无名真的太牛了！！改变了我对爱国电影，谍战电影的偏见！！！程耳牛逼！！！演员们牛逼！！现在在电影院外发呆回想剧情，本来想二刷！！结果下一场的卖完了！！！！只有明天带家人朋友一起看！！非常推荐！！大家一定要去看！！
2452$35372742$无名$告别圆舞曲$2023-03-15 20:16:20$0$导演系找摄影系拍的片子 程耳应该很爱看韦斯安德森吧
2453$35372742$无名$豆友1285694950$2023-04-10 11:17:57$1$个人很喜欢，虽然时间线不是顺序但介绍的很清晰，很多隐喻，看得很震撼，不得不说剪辑和导演的水平很高，赞。
2454$35372742$无名$míac$2023-01-22 12:04:05$135$一星给梁朝伟王传君等演员一星给视听语言
2455$35372742$无名$momo$2023-01-22 11:14:33$56$画虎不成反类犬了 导演到底想表达什么 看出来手法非常想模仿王家卫 但是东施效颦了 在昏暗的画面大段的对话面前没有字幕都是小问题了 真不知道到底要讲什么 眼睛难受耳朵也难受 根本连将就看下去都做不到
2456$35372742$无名$shuishui$2023-01-22 11:49:13$81$程耳的故事还是很喜欢，影厅几乎满了，大鹏惊喜，王一博这个角色很有趣啊，周迅和江疏影好美，真的是一部角色没有名字的电影，无名
2457$35372742$无名$骤雨中的阳光$2023-04-13 14:59:58$0$三星给梁先生的笑容
2458$35372742$无名$小狗属于谁$2023-04-22 15:02:55$0$看完罗曼蒂克和无名后谁会不喜欢程耳
2459$35372742$无名$Kevin$2023-04-16 11:31:10$0$加一颗星给伟仔。
2460$35372742$无名$桃汁流出$2023-01-22 12:55:44$1$程耳不愧是程耳，故事线稀碎。劝王一博不要再演戏了，一个不会动的大肿脸放大在大荧幕简直了。
2461$35372742$无名$小幼狮改了名字$2023-04-18 09:06:20$0$老上海的味道 人物还可以更推进剧情一些… 光靠字幕推进时间线多少有点被动…
2462$35372742$无名$shibuya emiri$2023-02-05 18:58:55$8$哈哈哈哈易先生后继有人哇？ sociopath站对了队，暴力就是美学。
2463$35372742$无名$Snowball$2023-01-22 11:35:01$10$很好看 值得去趟电影院
2464$35372742$无名$古比雪夫$2023-01-22 12:06:31$87$第一次电影没看完就出来了，周迅为啥戏份那么少，被绑架了就眨眨眼，上当了，浪费钱浪费时间，还不如看熊出没
2465$35372742$无名$做个幸福的人$2023-01-22 11:32:56$86$里面的打戏真心精彩啊，看着好爽。片子最后，王一博的表现真的会让人惊讶，眼前一亮。亦正亦邪演的恰好，让人舒服。
2466$35372742$无名$.44444444$2023-02-24 01:25:15$0$感觉导演想隐晦的表达很多东西 但可能因为很多原因 导致呈现出来的东西就会让人觉得好像可以这么解释又好像可以那么解释 但有的地又说不通 另外王一博继续磨练一下演技吧
2467$35372742$无名$晚枝鱼$2023-02-08 23:54:05$2$电影色调和细节值得两星，剧情有点简单，没有太多悬疑的感觉。
2468$35372742$无名$麦当劳汉堡$2023-01-22 11:24:19$1112$剧情拖沓，节奏奇怪，这个导演比郭敬明还喜欢上海，上一部也是这样，现在看来毫无长进，别拍了谢谢
2469$35372742$无名$姜小龙$2023-04-15 17:26:14$0$就是还行吧 没有任何新鲜感 中规中矩
2470$35372742$无名$红薯玉米蛋包饭$2023-01-22 11:36:55$194$禁止用影帝做宣传吸引人然后整那些名不副实的。。。。闹心巴拉的。
2471$35372742$无名$爸比。$2023-04-15 17:16:31$1$简单的不能再简单的故事。用稀碎的剪辑故弄玄虚。本来一点希望没抱但竟然比想象的好看一点hhhhhhhh。唯一能看到人物的是王传君。
2472$35372742$无名$江户呢妮🍬$2023-01-22 11:22:48$78$好看，等我去二刷!!
2473$35372742$无名$怀念tvb侦剧$2023-01-22 13:13:43$278$不负难看之名，当属无名。花钱去大屏幕看丑人，那么大个肿脸……
2474$35372742$无名$SweetRiver$2023-04-16 22:04:41$0$电影就懒得说了，灯光感觉有些太硬了，特别不自然。
2475$35372742$无名$酒也時開$2023-04-10 19:48:33$3$程耳的镜头比强迫症还漂亮精致。程耳的叙事比我的未来还像一团乱麻。
2476$35372742$无名$雪松路$2023-01-22 11:57:09$429$说实话 黑暗的调色还有剧情都很不对春节档的胃口 总结 依托答辩
2477$35372742$无名$村雨$2023-01-22 14:16:07$567$前面起调删掉一半更好呀 王一博行 最后致敬何藩多一🌟
2478$35372742$无名$AndresHsueh$2023-03-15 21:17:49$3$非常好的镜头，非常好的想法，但是这个剧本闭幕之后按正叙事复盘的话，就会发现有很多问题。
2479$35372742$无名$神户酩人$2023-04-16 13:28:41$0$跟间谍挂边的必有周迅。
2480$35372742$无名$祝新梨$2023-02-07 16:03:54$6$比想象中好。电影质感挺好的，镜头语言很不错，故事其实挺完整，认真看的话基本能理解，只是需要一点点那个时期的历史知识，剪辑确实略破碎了，但也还行
2481$35372742$无名$刺。$2023-04-16 23:25:47$0$他们都老了。
2482$35372742$无名$小安家里养的狗$2023-01-22 12:32:10$260$1.电影装逼只装一半也太难受了（但是还是有喜欢的片段）2.你说全片都端着那种“文艺范”的电影，有几处配乐莫名其妙就奔着mcu风格去了3.打乱时间线的效果就是开始看不明白，看明白之后“就这么点事你打乱的意义是？”（只有结尾那个反转打乱时间有点用）4.而且反转也是那种显得前面剧情很弱智的反转5.所谓的“烧脑”就是打乱时间之后反复重复台词6.男二演戏好搞笑 ，甚至不能全怪在演员上（虽然他演技很垃圾）导演只想让他装，但是氛围又完全对不上
