$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1307694$无间道3：终极无间$Yu-chia$2009-08-27 15:38:38$1296$鬼知道陈道明出来干嘛来了
577$1307694$无间道3：终极无间$林三郎$2014-08-24 20:17:53$0$三部曲中最复杂的一部，不但回忆各种穿插，而且刘德华不停精分，仍然看得比较吃力。很多年前第一次看的时候，貌似好几场戏都没看懂。
578$1307694$无间道3：终极无间$shitianquan$2012-12-02 19:24:47$0$人会变么，别人不会全信。
579$1307694$无间道3：终极无间$xjc_jovi$2008-08-18 02:57:33$0$一方便 这是为完成一个三部曲狗尾续貂的作品 三部排开来看 第三部就像是把一二的枝桠重新拿出来整合了遍 就好比有人问 前两部哪些细节为什么牛逼 总有个前因后果吧 所以就来解释一遍
580$1307694$无间道3：终极无间$太阳。神$2012-02-29 16:11:04$0$其实我们每个人都应该沉思，我们到底有多少个身份？其实每个人都是自己的无间道。我只不过想做一个好人。你们为什么不给我机会？？？
581$1307694$无间道3：终极无间$Kalee™$2007-07-17 18:36:53$0$一堆縯技派的大明星，沒得講lar~~~倘若一篇文章只有華麗的辭藻，則是炫目而空泛~
582$1307694$无间道3：终极无间$我最爱敲尼馬$2012-02-03 01:09:41$0$好看呢。
583$1307694$无间道3：终极无间$天心兀$2011-07-13 23:44:32$0$更加酷更加玄虚更加复杂。结尾拖沓。黎明基本没表情，演的就是个奇怪的人，可他死了 又一拍脑袋感叹结局居然是这样。
584$1307694$无间道3：终极无间$tonight$2007-10-17 23:41:19$0$一个更完美的谎言
585$1307694$无间道3：终极无间$洋葱狐狸~$2006-08-16 17:18:52$0$纯粹是交代剧情的作用。
586$1307694$无间道3：终极无间$Br.G$2013-01-17 20:55:29$0$好无聊。。。
587$1307694$无间道3：终极无间$薯条先森$2012-11-12 22:41:49$0$我想和他换   
588$1307694$无间道3：终极无间$无名的戈多$2009-09-13 11:18:46$0$最喜欢的电影之一，一直被模仿从未被超越，尽管有些情节有模仿《教父》的桥段，依旧瑕不掩瑜。
589$1307694$无间道3：终极无间$浩瀚左左$2009-11-17 23:16:05$0$2009.11.17
590$1307694$无间道3：终极无间$Edwina$2008-07-23 22:19:49$0$不怎么喜欢最后一部。
591$1307694$无间道3：终极无间$Wallys$2012-01-30 21:44:14$1$這系列的確可以繼續鋪排“上去”，像是結晶一樣的構成（例如池袋西口系列），《基友鬼雄傳》五墓以上再添加可以得噢（心）
592$1307694$无间道3：终极无间$母小肥星$2009-04-28 19:25:44$0$第一部最经典
593$1307694$无间道3：终极无间$BinSanity$2010-10-28 14:10:03$0$一部電影 是承受不了無間的
594$1307694$无间道3：终极无间$庐陵$2009-06-07 21:09:12$0$三部片子下来，时间与空间的交错，角色的转换、善恶的交替和挣扎，“对不起，我是警察”足以道明一切。
595$1307694$无间道3：终极无间$猴面包树种子$2011-12-18 20:09:55$0$感觉后面的多条线索有点可疑, 不如第一部来的流畅...
596$1307694$无间道3：终极无间$ToTo$2006-02-05 17:03:32$0$总没有第一部好看
597$1307694$无间道3：终极无间$何文田没有花$2010-06-12 18:31:02$0$结构啊太松散了
598$1307694$无间道3：终极无间$小锤$2011-10-01 21:52:45$0$跳tone。。。
599$1307694$无间道3：终极无间$momo$2012-01-25 23:51:22$0$刘嘉玲是做咩的啊？难道无间二有交代？还是梁朝伟最有味道！
